phenotype,dataset,protocol,auc
AD Amplicon,PRJNA489760,LODO,0.8700000000000001
AD Amplicon,PRJNA554111,LODO,0.7404002163331531
AD Amplicon,PRJNA633959,LODO,0.6328169014084506
AD Amplicon,PRJNA489760,Internal Validation,0.7796101949025488
AD Amplicon,PRJNA554111,Internal Validation,0.891941391941392
AD Amplicon,PRJNA633959,Internal Validation,0.8755555555555555
AD Amplicon,PRJNA489760,Within Learning,1.0
AD Amplicon,PRJNA554111,Within Learning,0.7962962962962963
AD Amplicon,PRJNA633959,Within Learning,0.95
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,LODO,0.6201712342796281
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,LODO,0.5711538461538461
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,LODO,0.6114267676767676
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,LODO,0.6126984126984127
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,LODO,0.5588714053174173
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,LODO,0.5688955422488358
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,LODO,0.5513176982591876
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,LODO,0.6735566642908054
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Internal Validation,0.5305164319248826
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Internal Validation,0.5890985915492959
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Internal Validation,0.5729147874195682
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Internal Validation,0.6322329492369978
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Internal Validation,0.622023619533993
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Internal Validation,0.555763823805061
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Internal Validation,0.5396825396825397
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Internal Validation,0.5782541932435625
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Within Learning,0.6757852077001013
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Within Learning,0.5
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Within Learning,0.7166666666666667
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Within Learning,0.5809523809523809
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Within Learning,0.6118421052631579
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Within Learning,0.6194029850746269
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Within Learning,0.784037558685446
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Within Learning,0.4833333333333333
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.5912667191188041
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.6951923076923078
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.6242071881606766
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.610142118863049
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.6691729323308271
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.6363636363636364
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.6097308488612836
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.61953125
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Within Learning,0.5637254901960784
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Within Learning,0.5
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Within Learning,0.5384615384615384
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Within Learning,0.48809523809523814
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,LODO,0.6944669521935409
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,LODO,0.7601945379723157
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,LODO,0.6976744186046512
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,LODO,0.7273989657153802
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,LODO,0.855036855036855
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,LODO,0.7638888888888888
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,LODO,0.7069203944203943
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Internal Validation,0.7203237410071943
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Internal Validation,0.6669492630755185
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Internal Validation,0.7091659298555851
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Internal Validation,0.7237793851717902
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Internal Validation,0.7456098718557191
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Internal Validation,0.7212698412698413
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Internal Validation,0.7099328627991048
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Within Learning,0.7533653846153846
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Within Learning,0.8303571428571428
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Within Learning,0.8079710144927537
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Within Learning,0.7282051282051283
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Within Learning,0.7644376899696048
PD Amplicon,PRJEB27564,LODO,0.496274217585693
PD Amplicon,PRJEB30615,LODO,0.7578205128205128
PD Amplicon,PRJNA381395,LODO,0.5020242914979758
PD Amplicon,PRJNA601994,LODO,0.6436347422264099
PD Amplicon,PRJEB27564,Internal Validation,0.741051028179741
PD Amplicon,PRJEB30615,Internal Validation,0.7007839721254354
PD Amplicon,PRJNA381395,Internal Validation,0.809640522875817
PD Amplicon,PRJNA601994,Internal Validation,0.8665620094191522
PD Amplicon,PRJEB27564,Within Learning,1.0
PD Amplicon,PRJEB30615,Within Learning,0.9984375
PD Amplicon,PRJNA381395,Within Learning,0.975
PD Amplicon,PRJNA601994,Within Learning,0.7717255717255718
T2D Amplicon,PRJNA448494,LODO,0.5001612903225806
T2D Amplicon,PRJNA505546,LODO,0.5049019607843137
T2D Amplicon,PRJNA448494,Internal Validation,0.6373626373626375
T2D Amplicon,PRJNA505546,Internal Validation,0.8692307692307693
T2D Amplicon,PRJNA448494,Within Learning,0.8692307692307693
T2D Amplicon,PRJNA505546,Within Learning,0.6373626373626375
ASD Amplicon,PRJEB27306,LODO,0.31780167264038234
ASD Amplicon,PRJNA453621,LODO,0.3301139420020539
ASD Amplicon,PRJNA687773,LODO,0.539044289044289
ASD Amplicon,PRJEB27306,Internal Validation,0.9349415204678363
ASD Amplicon,PRJNA453621,Internal Validation,0.7761904761904762
ASD Amplicon,PRJNA687773,Internal Validation,0.9579831932773109
ASD Amplicon,PRJEB27306,Within Learning,0.5
ASD Amplicon,PRJNA453621,Within Learning,1.0
ASD Amplicon,PRJNA687773,Within Learning,0.8750000000000001
UC Metagenomics,PRJNA389280_UC,LODO,0.8
UC Metagenomics,PRJNA400072_UC,LODO,0.6064379699248119
UC Metagenomics,PRJNA487636_UC,LODO,0.6315104166666666
UC Metagenomics,PRJNA389280_UC,Internal Validation,0.7083333333333334
UC Metagenomics,PRJNA400072_UC,Internal Validation,0.8125
UC Metagenomics,PRJNA487636_UC,Internal Validation,0.7544642857142857
UC Metagenomics,PRJNA389280_UC,Within Learning,0.5
UC Metagenomics,PRJNA400072_UC,Within Learning,0.8181818181818181
UC Metagenomics,PRJNA487636_UC,Within Learning,0.7846153846153847
ASD Metagenomics,PRJEB23052,LODO,0.8649662415603901
ASD Metagenomics,PRJNA451479,LODO,0.84
ASD Metagenomics,PRJNA516054,LODO,0.4207792207792208
ASD Metagenomics,PRJNA686821,LODO,0.859375
ASD Metagenomics,PRJEB23052,Internal Validation,0.7138888888888889
ASD Metagenomics,PRJNA451479,Internal Validation,0.735576923076923
ASD Metagenomics,PRJNA516054,Internal Validation,0.8835978835978835
ASD Metagenomics,PRJNA686821,Internal Validation,0.7716346153846155
ASD Metagenomics,PRJEB23052,Within Learning,0.9259259259259259
ASD Metagenomics,PRJNA451479,Within Learning,1.0
ASD Metagenomics,PRJNA516054,Within Learning,0.71875
ASD Metagenomics,PRJNA686821,Within Learning,0.7428571428571429
CRC Metagenomics,PRJEB10878,LODO,0.6311311311311311
CRC Metagenomics,PRJEB12449,LODO,0.6996021220159152
CRC Metagenomics,PRJEB27928,LODO,0.7133333333333333
CRC Metagenomics,PRJEB6070,LODO,0.6702329594477997
CRC Metagenomics,PRJEB7774,LODO,0.6857042129384805
CRC Metagenomics,PRJNA447983,LODO,0.6629464285714286
CRC Metagenomics,PRJEB10878,Internal Validation,0.6928374655647384
CRC Metagenomics,PRJEB12449,Internal Validation,0.6898800208659364
CRC Metagenomics,PRJEB27928,Internal Validation,0.7213563029805852
CRC Metagenomics,PRJEB6070,Internal Validation,0.6531895777178796
CRC Metagenomics,PRJEB7774,Internal Validation,0.6735549565738246
CRC Metagenomics,PRJNA447983,Internal Validation,0.6986666666666667
CRC Metagenomics,PRJEB10878,Within Learning,0.9454545454545454
CRC Metagenomics,PRJEB12449,Within Learning,0.7833333333333333
CRC Metagenomics,PRJEB27928,Within Learning,0.9038461538461539
CRC Metagenomics,PRJEB6070,Within Learning,0.680161943319838
CRC Metagenomics,PRJEB7774,Within Learning,0.5526315789473685
CRC Metagenomics,PRJNA447983,Within Learning,0.513888888888889
CD Metagenomics,CD_PRJEB1220_justControl,LODO,
CD Metagenomics,PRJEB15371,LODO,0.8406983087834151
CD Metagenomics,PRJNA400072,LODO,0.8459821428571429
CD Metagenomics,PRJNA487636,LODO,0.7547743055555555
CD Metagenomics,SRP057027,LODO,0.7773109243697479
CD Metagenomics,CD_PRJEB1220_justControl,Internal Validation,0.8154706430568499
CD Metagenomics,PRJEB15371,Internal Validation,0.9128151260504201
CD Metagenomics,PRJNA400072,Internal Validation,0.8823308270676692
CD Metagenomics,PRJNA487636,Internal Validation,0.9202215237239934
CD Metagenomics,SRP057027,Internal Validation,0.8920863309352518
CD Metagenomics,PRJEB15371,Within Learning,0.9875
CD Metagenomics,PRJNA400072,Within Learning,0.8686868686868687
CD Metagenomics,PRJNA487636,Within Learning,0.8131868131868132
CD Metagenomics,SRP057027,Within Learning,1.0
