phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.8490357141331654,0.035033559857401454
AD Amplicon,LODO,0.7477390392472012,0.06856711871272554
AD Amplicon,Within Learning,0.915432098765432,0.0612916649376126
ASD Amplicon,Internal Validation,0.8897050633118745,0.05714572246596373
ASD Amplicon,LODO,0.39565330122890846,0.07178353927888938
ASD Amplicon,Within Learning,0.7916666666666666,0.15023130314433292
ASD Metagenomics,Internal Validation,0.7761745777370778,0.03773598470450605
ASD Metagenomics,LODO,0.7462801155849027,0.1086320619622388
ASD Metagenomics,Within Learning,0.8468832671957672,0.06887914807288194
CD Metagenomics,Internal Validation,0.8845848901668368,0.018580968000843242
CD Metagenomics,LODO,0.8046914203914654,
CD Metagenomics,Within Learning,0.9173434204684205,0.04561625684548307
CRC Metagenomics,Internal Validation,0.6882474983949384,0.009440009753115403
CRC Metagenomics,LODO,0.6771583645730147,0.011907740782962003
CRC Metagenomics,Within Learning,0.7298860739650214,0.07306045760413285
Delivery_mode_6month Amplicon,Internal Validation,0.6336996668889368,0.01304063383318465
Delivery_mode_6month Amplicon,LODO,0.6302020834587094,0.022689999249721024
Delivery_mode_6month Amplicon,Within Learning,0.5225705666882138,0.0174265828431249
Delivery_mode_month Amplicon,Internal Validation,0.7138615564335362,0.009051714101614101
Delivery_mode_month Amplicon,LODO,0.7436544304045752,0.0214010747478798
Delivery_mode_month Amplicon,Within Learning,0.6977623371628592,0.05264691103417574
Delivery_mode_year Amplicon,Internal Validation,0.5775608670494876,0.012848163033998095
Delivery_mode_year Amplicon,LODO,0.5960114463656125,0.014542505105020377
Delivery_mode_year Amplicon,Within Learning,0.6215025297094641,0.03635541218852692
PD Amplicon,Internal Validation,0.7795093831500364,0.03670011436124152
PD Amplicon,LODO,0.5999384410326478,0.06269607060521072
PD Amplicon,Within Learning,0.936290767931393,0.055152206821350726
T2D Amplicon,Internal Validation,0.7532967032967034,0.11593406593406586
T2D Amplicon,LODO,0.5025316255534471,0.0023703352308665493
T2D Amplicon,Within Learning,0.7532967032967034,0.11593406593406586
UC Metagenomics,Internal Validation,0.7584325396825397,0.030135714641039747
UC Metagenomics,LODO,0.6793161288638262,0.060774458617402896
UC Metagenomics,Within Learning,0.700932400932401,0.10093240093240094
