Group,Paper,LightGBM Mean,LightGBM n,Paper Mean,Paper n,Mean Difference,95% CI Lower,95% CI Upper,p-value,U-statistic,q-value (FDR),FDR significant,Significance,Significance (uncorrected)
AD Amplicon,Li-et-al,0.7465509081168097,3,0.54651650675,4,0.20003440136680972,0.014994464582772205,0.40402326349999995,0.22857142857142856,10.0,0.7005685723223926,False,ns,ns
ASD Amplicon,Li-et-al,0.5478093683503865,3,0.5983333333333333,6,-0.050523964982946756,-0.20159530234799056,0.12680467939209206,0.5476190476190476,6.0,0.7161172161172161,False,ns,ns
Delivery_mode_month Amplicon,vanni-et-al,0.7743072304367998,7,0.7299999999999999,7,0.04430723043679996,-0.005511629117950759,0.10286646208201283,0.3828671328671329,32.0,0.7005685723223926,False,ns,ns
Delivery_mode_6month Amplicon,vanni-et-al,0.6042154160352726,4,0.5625,4,0.04171541603527262,-0.028682892383295355,0.11262856765327686,0.4857142857142857,11.0,0.7005685723223926,False,ns,ns
Delivery_mode_year Amplicon,vanni-et-al,0.6247432364908945,8,0.5925,8,0.032243236490894445,-0.023794833442661176,0.09245338754130573,0.49451899222757123,39.0,0.7005685723223926,False,ns,ns
PD Amplicon,Li-et-al,0.6903161754639072,3,0.6083333333333334,6,0.08198284213057383,-0.004546763132583889,0.17557692307692319,0.26190476190476186,14.0,0.7005685723223926,False,ns,ns
T2D Amplicon,Li-et-al,0.4545786613765741,2,0.55,4,-0.09542133862342594,-0.18258064516129024,-0.008262032085561533,0.26666666666666666,1.0,0.7005685723223926,False,ns,ns
ASD Metagenomics,Li-et-al,0.69497721257966,4,0.575,4,0.1199772125796601,-0.14269886363636358,0.31824672313911806,0.34285714285714286,12.0,0.7005685723223926,False,ns,ns
CD Metagenomics,SIAMCAT,0.8648376211272213,4,0.8710000000000001,5,-0.006162378872778818,-0.090365747591131,0.08744162529917673,0.9047619047619049,9.0,0.9307359307359306,False,ns,ns
CD Metagenomics,Li-et-al,0.8648376211272213,4,0.768,5,0.09683762112722127,0.02029191927608745,0.17597323734923465,0.06349206349206349,18.0,0.5666666666666667,False,ns,ns
CRC Metagenomics,SIAMCAT,0.8055892237368162,6,0.7707142857142858,7,0.03487493802253039,-0.04544618525741275,0.1068070787992662,0.4452214452214452,27.0,0.7005685723223926,False,ns,ns
CRC Metagenomics,Li-et-al,0.8055892237368162,6,0.78,7,0.025589223736816158,-0.03517532446170008,0.07939514368657306,0.4314014169471778,27.0,0.7005685723223926,False,ns,ns
CRC Metagenomics,melody,0.8055892237368162,6,0.8230000000000001,5,-0.01741077626318388,-0.09014259906235664,0.050541329138401536,0.9307359307359306,14.0,0.9307359307359306,False,ns,ns
CRC Metagenomics,GCN,0.8055892237368162,6,0.8874000000000001,5,-0.0818107762631839,-0.1536718143062402,-0.006705084735111416,0.08213856110808998,5.0,0.5666666666666667,False,ns,ns
CRC Metagenomics,Debias-M,0.8055892237368162,6,0.7957142857142856,7,0.009874938022530588,-0.06032710460163877,0.07710999615707663,0.7307692307692307,24.0,0.8282051282051281,False,ns,ns
UC Metagenomics,SIAMCAT,0.8031767787524365,3,0.7616666666666667,3,0.041510112085769824,-0.03153996101364509,0.12034113060428853,0.7,6.0,0.8282051282051281,False,ns,ns
UC Metagenomics,Li-et-al,0.8031767787524365,3,0.68,3,0.12317677875243649,0.07179337231968819,0.17456018518518512,0.1,9.0,0.5666666666666667,False,ns,ns
