phenotype,dataset,protocol,auc
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.5234067663257277
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.625
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.5954897815362932
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.6729651162790697
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.6315789473684211
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.6713286713286714
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.6444099378881987
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.610546875
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Within Learning,0.7009803921568627
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Within Learning,0.25
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Within Learning,0.7008547008547008
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Within Learning,0.7738095238095237
T2D Amplicon,PRJNA448494,LODO,0.3824193548387097
T2D Amplicon,PRJNA505546,LODO,0.5267379679144385
T2D Amplicon,PRJNA448494,Internal Validation,0.8351648351648352
T2D Amplicon,PRJNA505546,Internal Validation,0.9076923076923076
T2D Amplicon,PRJNA448494,Within Learning,0.9076923076923076
T2D Amplicon,PRJNA505546,Within Learning,0.8351648351648352
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,LODO,0.5654827741591906
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,LODO,0.7134615384615385
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,LODO,0.6963383838383839
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,LODO,0.5837301587301588
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,LODO,0.6285946825827455
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,LODO,0.559148369926813
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,LODO,0.6097074468085106
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,LODO,0.6414825374198146
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Internal Validation,0.6620621162874685
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Internal Validation,0.5772957746478874
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Internal Validation,0.6660653075951651
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Internal Validation,0.611336032388664
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Internal Validation,0.6054261091605491
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Internal Validation,0.5842549203373946
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Internal Validation,0.5112606997423751
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Internal Validation,0.5708717221828491
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Within Learning,0.5876393110435664
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Within Learning,0.5227272727272727
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Within Learning,0.5916666666666667
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Within Learning,0.7238095238095238
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Within Learning,0.6578947368421053
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Within Learning,0.6011608623548922
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Within Learning,0.8544600938967135
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Within Learning,0.7083333333333333
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,LODO,0.7411930393178223
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,LODO,0.7863823419378976
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,LODO,0.805232558139535
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,LODO,0.7628806742003448
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,LODO,0.8452088452088452
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,LODO,0.7299145299145299
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,LODO,0.7493386243386243
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Internal Validation,0.7263617677286742
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Internal Validation,0.7257727924872831
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Internal Validation,0.7717653993516064
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Internal Validation,0.8138336347197107
