phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.9635735978164764,0.01027682193136511
AD Amplicon,LODO,0.7465509081168097,0.09691543846139605
AD Amplicon,Within Learning,0.9641975308641975,0.021418952559132717
ASD Amplicon,Internal Validation,0.9519984602027947,0.04268112032113701
ASD Amplicon,LODO,0.5478093683503865,0.09178613081308636
ASD Amplicon,Within Learning,0.8703703703703703,0.0911931277944084
ASD Metagenomics,Internal Validation,0.9228479853479854,0.025130027041911366
ASD Metagenomics,LODO,0.69497721257966,0.13120807086372432
ASD Metagenomics,Within Learning,0.9895833333333333,0.010416666666666685
CD Metagenomics,Internal Validation,0.9712535166248124,0.01619416909023282
CD Metagenomics,LODO,0.8648376211272214,
CD Metagenomics,Within Learning,0.965992340992341,0.029176541363412245
CRC Metagenomics,Internal Validation,0.7990050851876211,0.009718437065335418
CRC Metagenomics,LODO,0.8055892237368162,0.03013832395069738
CRC Metagenomics,Within Learning,0.8226947272999904,0.05297303024452162
Delivery_mode_6month Amplicon,Internal Validation,0.6394661078963229,0.01270890021459257
Delivery_mode_6month Amplicon,LODO,0.6042154160352726,0.03131119977937671
Delivery_mode_6month Amplicon,Within Learning,0.6064111542052718,0.12003959390501233
Delivery_mode_month Amplicon,Internal Validation,0.7620028886263385,0.011555279505844798
Delivery_mode_month Amplicon,LODO,0.7743072304367998,0.01539208375664323
Delivery_mode_month Amplicon,Within Learning,0.75413583102066,0.07115165059349772
Delivery_mode_year Amplicon,Internal Validation,0.5985715852927941,0.017850803227867904
Delivery_mode_year Amplicon,LODO,0.6247432364908945,0.020272463948736708
Delivery_mode_year Amplicon,Within Learning,0.6559614750842593,0.036913946441506286
PD Amplicon,Internal Validation,0.888770537454748,0.06282511964749433
PD Amplicon,LODO,0.6903161754639072,0.0321645549554937
PD Amplicon,Within Learning,0.9072765072765073,0.09272349272349274
T2D Amplicon,Internal Validation,0.8714285714285714,0.03626373626373619
T2D Amplicon,LODO,0.4545786613765741,0.07215930653786438
T2D Amplicon,Within Learning,0.8714285714285714,0.03626373626373619
UC Metagenomics,Internal Validation,0.860515873015873,0.021991834718382987
UC Metagenomics,LODO,0.8031767787524368,0.02342797788411027
UC Metagenomics,Within Learning,0.7519085081585081,0.13101773569023303
