phenotype,dataset,protocol,auc
PD Amplicon,PRJEB27564,LODO,0.29388971684053644
PD Amplicon,PRJEB30615,LODO,0.747051282051282
PD Amplicon,PRJNA381395,LODO,0.5571862348178137
PD Amplicon,PRJNA601994,LODO,0.6071981424148607
PD Amplicon,PRJEB27564,Internal Validation,0.8583396801218584
PD Amplicon,PRJEB30615,Internal Validation,0.8307926829268293
PD Amplicon,PRJNA381395,Internal Validation,0.8740468409586056
PD Amplicon,PRJNA601994,Internal Validation,0.9916274201988486
PD Amplicon,PRJEB27564,Within Learning,1.0
PD Amplicon,PRJEB30615,Within Learning,1.0
PD Amplicon,PRJNA381395,Within Learning,1.0
PD Amplicon,PRJNA601994,Within Learning,0.7051975051975052
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,LODO,0.7393409731064553
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,LODO,0.7661803217358772
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,LODO,0.7877906976744187
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,LODO,0.7652269680137904
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,LODO,0.8157248157248157
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,LODO,0.7309829059829059
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,LODO,0.7314213564213563
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Internal Validation,0.7294450154162384
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Internal Validation,0.7225120646928394
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Internal Validation,0.7691718243442383
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Internal Validation,0.7966546112115732
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Internal Validation,0.7645348837209303
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Internal Validation,0.7585185185185185
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Internal Validation,0.783009123773455
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Within Learning,0.8663461538461539
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Within Learning,0.8839285714285714
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Within Learning,0.8647342995169083
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Within Learning,0.958974358974359
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Within Learning,0.6914893617021277
T2D Amplicon,PRJNA448494,LODO,0.690483870967742
T2D Amplicon,PRJNA505546,LODO,0.5267379679144385
T2D Amplicon,PRJNA448494,Internal Validation,0.7417582417582418
T2D Amplicon,PRJNA505546,Internal Validation,0.8923076923076924
T2D Amplicon,PRJNA448494,Within Learning,0.8923076923076924
T2D Amplicon,PRJNA505546,Within Learning,0.7417582417582418
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.5411093627065303
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.6730769230769231
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.6113460183227625
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.6529392764857881
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.6235902255639098
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.7074592074592074
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.5952380952380953
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.5710937500000001
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Within Learning,0.678921568627451
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Within Learning,0.25
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Within Learning,0.7051282051282051
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Within Learning,0.7380952380952381
AD Amplicon,PRJNA489760,LODO,0.9283333333333332
AD Amplicon,PRJNA554111,LODO,0.47701460248783123
AD Amplicon,PRJNA633959,LODO,0.6385915492957747
AD Amplicon,PRJNA489760,Internal Validation,0.9565217391304348
AD Amplicon,PRJNA554111,Internal Validation,0.9725274725274726
AD Amplicon,PRJNA633959,Internal Validation,0.9688888888888889
AD Amplicon,PRJNA489760,Within Learning,1.0
AD Amplicon,PRJNA554111,Within Learning,0.9259259259259258
AD Amplicon,PRJNA633959,Within Learning,0.99
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,LODO,0.5223874482815123
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,LODO,0.5923076923076922
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,LODO,0.6205808080808081
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,LODO,0.6021825396825397
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,LODO,0.6220835594139988
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,LODO,0.5505655355954757
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,LODO,0.6074709864603481
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,LODO,0.6129722024233785
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Internal Validation,0.6737540628385698
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Internal Validation,0.5486478873239438
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Internal Validation,0.662276745444705
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Internal Validation,0.5885393958268452
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Internal Validation,0.6119374401532078
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Internal Validation,0.5813495782567948
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Internal Validation,0.5788248981966259
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Internal Validation,0.5217339948027404
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Within Learning,0.5653495440729484
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Within Learning,0.5
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Within Learning,0.6083333333333333
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Within Learning,0.7523809523809524
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Within Learning,0.6513157894736843
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Within Learning,0.6007462686567164
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Within Learning,0.7730829420970265
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Within Learning,0.7166666666666667
ASD Amplicon,PRJEB27306,LODO,0.4767025089605735
ASD Amplicon,PRJNA453621,LODO,0.6963421194190424
ASD Amplicon,PRJNA687773,LODO,0.462995337995338
ASD Amplicon,PRJEB27306,Internal Validation,0.9926900584795322
ASD Amplicon,PRJNA453621,Internal Validation,0.8571428571428572
ASD Amplicon,PRJNA687773,Internal Validation,0.9957983193277311
ASD Amplicon,PRJEB27306,Within Learning,0.6944444444444444
ASD Amplicon,PRJNA453621,Within Learning,1.0
ASD Amplicon,PRJNA687773,Within Learning,0.9027777777777778
UC Metagenomics,PRJNA389280_UC,LODO,0.7333333333333333
UC Metagenomics,PRJNA400072_UC,LODO,0.7619830827067668
UC Metagenomics,PRJNA487636_UC,LODO,0.806640625
UC Metagenomics,PRJNA389280_UC,Internal Validation,0.8125
UC Metagenomics,PRJNA400072_UC,Internal Validation,0.8645833333333334
UC Metagenomics,PRJNA487636_UC,Internal Validation,0.8928571428571428
UC Metagenomics,PRJNA389280_UC,Within Learning,0.5
UC Metagenomics,PRJNA400072_UC,Within Learning,0.9403409090909092
UC Metagenomics,PRJNA487636_UC,Within Learning,0.8461538461538463
CRC Metagenomics,PRJEB10878,LODO,0.8143143143143143
CRC Metagenomics,PRJEB12449,LODO,0.7403846153846154
CRC Metagenomics,PRJEB27928,LODO,0.8892307692307693
CRC Metagenomics,PRJEB6070,LODO,0.6738567730802416
CRC Metagenomics,PRJEB7774,LODO,0.757800105764146
CRC Metagenomics,PRJNA447983,LODO,0.8303571428571429
CRC Metagenomics,PRJEB10878,Internal Validation,0.834435261707989
CRC Metagenomics,PRJEB12449,Internal Validation,0.8273343766301512
CRC Metagenomics,PRJEB27928,Internal Validation,0.7976483456385015
CRC Metagenomics,PRJEB6070,Internal Validation,0.772386942198263
CRC Metagenomics,PRJEB7774,Internal Validation,0.8304881701108117
CRC Metagenomics,PRJNA447983,Internal Validation,0.8268888888888889
CRC Metagenomics,PRJEB10878,Within Learning,0.9878787878787878
CRC Metagenomics,PRJEB12449,Within Learning,0.6916666666666665
CRC Metagenomics,PRJEB27928,Within Learning,0.9294871794871795
CRC Metagenomics,PRJEB6070,Within Learning,0.6882591093117408
CRC Metagenomics,PRJEB7774,Within Learning,0.7763157894736842
CRC Metagenomics,PRJNA447983,Within Learning,0.8333333333333334
CD Metagenomics,CD_PRJEB1220_justControl,LODO,
CD Metagenomics,PRJEB15371,LODO,0.916530278232406
CD Metagenomics,PRJNA400072,LODO,0.9172077922077922
CD Metagenomics,PRJNA487636,LODO,0.8120659722222222
CD Metagenomics,SRP057027,LODO,0.8151260504201681
CD Metagenomics,CD_PRJEB1220_justControl,Internal Validation,0.9049394221808015
CD Metagenomics,PRJEB15371,Internal Validation,0.9846938775510204
CD Metagenomics,PRJNA400072,Internal Validation,0.9939849624060151
CD Metagenomics,PRJNA487636,Internal Validation,0.9928154467894028
CD Metagenomics,SRP057027,Internal Validation,0.9845535336436733
CD Metagenomics,PRJEB15371,Within Learning,1.0
CD Metagenomics,PRJNA400072,Within Learning,0.9747474747474747
CD Metagenomics,PRJNA487636,Within Learning,0.8791208791208791
CD Metagenomics,SRP057027,Within Learning,1.0
ASD Metagenomics,PRJEB23052,LODO,0.9212303075768942
ASD Metagenomics,PRJNA451479,LODO,0.7583333333333333
ASD Metagenomics,PRJNA516054,LODO,0.3155844155844156
ASD Metagenomics,PRJNA686821,LODO,0.81125
ASD Metagenomics,PRJEB23052,Internal Validation,0.8166666666666667
ASD Metagenomics,PRJNA451479,Internal Validation,0.9110576923076923
ASD Metagenomics,PRJNA516054,Internal Validation,0.9841269841269842
ASD Metagenomics,PRJNA686821,Internal Validation,0.9423076923076923
ASD Metagenomics,PRJEB23052,Within Learning,1.0
ASD Metagenomics,PRJNA451479,Within Learning,1.0
ASD Metagenomics,PRJNA516054,Within Learning,0.9583333333333333
ASD Metagenomics,PRJNA686821,Within Learning,1.0
