phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.9659793668489322,0.004844063867938733
AD Amplicon,LODO,0.6813131617056464,0.1320239893960856
AD Amplicon,Within Learning,0.9719753086419752,0.023204950882637784
ASD Amplicon,Internal Validation,0.9485437449833736,0.0457092515978297
ASD Amplicon,LODO,0.545346655458318,0.07560135412478489
ASD Amplicon,Within Learning,0.8657407407407408,0.09012927006449903
ASD Metagenomics,Internal Validation,0.9135397588522589,0.03559108855131549
ASD Metagenomics,LODO,0.7015995141236608,0.1330686843413935
ASD Metagenomics,Within Learning,0.9895833333333333,0.010416666666666685
CD Metagenomics,Internal Validation,0.9721974485141827,0.016929668188014658
CD Metagenomics,LODO,0.8652325232706471,
CD Metagenomics,Within Learning,0.9634670884670884,0.028738530169809172
CRC Metagenomics,Internal Validation,0.8148636641957676,0.010046452801017588
CRC Metagenomics,LODO,0.7843239534385383,0.031016712770997736
CRC Metagenomics,Within Learning,0.8178234776918987,0.05034994245161508
Delivery_mode_6month Amplicon,Internal Validation,0.6243453195653031,0.02970893341655859
Delivery_mode_6month Amplicon,LODO,0.619617895148001,0.029155039206640414
Delivery_mode_6month Amplicon,Within Learning,0.5930362529627236,0.11498437328664826
Delivery_mode_month Amplicon,Internal Validation,0.760549434525399,0.010137978862932901
Delivery_mode_month Amplicon,LODO,0.7623811483799458,0.011941257480545534
Delivery_mode_month Amplicon,Within Learning,0.7522103922097314,0.07182929928658063
Delivery_mode_year Amplicon,Internal Validation,0.5958830003554291,0.018427045078707772
Delivery_mode_year Amplicon,LODO,0.5913188465307192,0.012722208548659629
Delivery_mode_year Amplicon,Within Learning,0.645984437085166,0.03374700745433787
PD Amplicon,Internal Validation,0.8887016560515355,0.035453931706545296
PD Amplicon,LODO,0.5513313440311232,0.09475312855737497
PD Amplicon,Within Learning,0.9262993762993763,0.07370062370062369
T2D Amplicon,Internal Validation,0.817032967032967,0.07527472527472528
T2D Amplicon,LODO,0.6086109194410902,0.08187295152665174
T2D Amplicon,Within Learning,0.817032967032967,0.07527472527472528
UC Metagenomics,Internal Validation,0.8566468253968255,0.02353407969102471
UC Metagenomics,LODO,0.7673190136800333,0.021329509076934042
UC Metagenomics,Within Learning,0.7621649184149185,0.133872618611628
