phenotype,dataset,protocol,auc
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,LODO,0.739340973
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,LODO,0.766180322
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,LODO,0.787790698
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,LODO,0.765226968
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,LODO,0.815724816
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,LODO,0.730982906
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,LODO,0.731421356
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Internal Validation,0.729445015
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Internal Validation,0.722512065
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Internal Validation,0.769171824
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Internal Validation,0.796654611
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Internal Validation,0.764534884
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Internal Validation,0.758518519
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Internal Validation,0.783009124
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Within Learning,0.866346154
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Within Learning,0.883928571
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Within Learning,0.8647343
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Within Learning,0.958974359
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Within Learning,0.691489362
AD Amplicon,PRJNA489760,LODO,0.928333333
AD Amplicon,PRJNA554111,LODO,0.477014602
AD Amplicon,PRJNA633959,LODO,0.638591549
AD Amplicon,PRJNA489760,Internal Validation,0.956521739
AD Amplicon,PRJNA554111,Internal Validation,0.972527473
AD Amplicon,PRJNA633959,Internal Validation,0.968888889
AD Amplicon,PRJNA489760,Within Learning,1
AD Amplicon,PRJNA554111,Within Learning,0.925925926
AD Amplicon,PRJNA633959,Within Learning,0.99
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,LODO,0.522387448
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,LODO,0.592307692
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,LODO,0.620580808
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,LODO,0.60218254
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,LODO,0.622083559
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,LODO,0.550565536
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,LODO,0.607470986
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,LODO,0.612972202
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Internal Validation,0.673754063
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Internal Validation,0.548647887
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Internal Validation,0.662276745
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Internal Validation,0.588539396
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Internal Validation,0.61193744
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Internal Validation,0.581349578
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Internal Validation,0.578824898
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Internal Validation,0.521733995
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Within Learning,0.565349544
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Within Learning,0.5
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Within Learning,0.608333333
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Within Learning,0.752380952
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Within Learning,0.651315789
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Within Learning,0.600746269
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Within Learning,0.773082942
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Within Learning,0.716666667
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.541109363
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.673076923
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.611346018
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.652939276
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.623590226
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.707459207
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.595238095
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.57109375
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Within Learning,0.678921569
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Within Learning,0.25
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Within Learning,0.705128205
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Within Learning,0.738095238
PD Amplicon,PRJEB27564,LODO,0.293889717
PD Amplicon,PRJEB30615,LODO,0.747051282
PD Amplicon,PRJNA381395,LODO,0.557186235
PD Amplicon,PRJNA601994,LODO,0.607198142
PD Amplicon,PRJEB27564,Internal Validation,0.85833968
PD Amplicon,PRJEB30615,Internal Validation,0.830792683
PD Amplicon,PRJNA381395,Internal Validation,0.874046841
PD Amplicon,PRJNA601994,Internal Validation,0.99162742
PD Amplicon,PRJEB27564,Within Learning,1
PD Amplicon,PRJEB30615,Within Learning,1
PD Amplicon,PRJNA381395,Within Learning,1
PD Amplicon,PRJNA601994,Within Learning,0.705197505
T2D Amplicon,PRJNA448494,LODO,0.690483871
T2D Amplicon,PRJNA505546,LODO,0.526737968
T2D Amplicon,PRJNA448494,Internal Validation,0.741758242
T2D Amplicon,PRJNA505546,Internal Validation,0.892307692
T2D Amplicon,PRJNA448494,Within Learning,0.892307692
T2D Amplicon,PRJNA505546,Within Learning,0.741758242
ASD Amplicon,PRJEB27306,LODO,0.476702509
ASD Amplicon,PRJNA453621,LODO,0.696342119
ASD Amplicon,PRJNA687773,LODO,0.462995338
ASD Amplicon,PRJEB27306,Internal Validation,0.992690058
ASD Amplicon,PRJNA453621,Internal Validation,0.857142857
ASD Amplicon,PRJNA687773,Internal Validation,0.995798319
ASD Amplicon,PRJEB27306,Within Learning,0.694444444
ASD Amplicon,PRJNA453621,Within Learning,1
ASD Amplicon,PRJNA687773,Within Learning,0.902777778
ASD Metagenomics,PRJEB23052,LODO,0.921230308
ASD Metagenomics,PRJNA451479,LODO,0.758333333
ASD Metagenomics,PRJNA516054,LODO,0.315584416
ASD Metagenomics,PRJNA686821,LODO,0.81125
ASD Metagenomics,PRJEB23052,Internal Validation,0.816666667
ASD Metagenomics,PRJNA451479,Internal Validation,0.911057692
ASD Metagenomics,PRJNA516054,Internal Validation,0.984126984
ASD Metagenomics,PRJNA686821,Internal Validation,0.942307692
ASD Metagenomics,PRJEB23052,Within Learning,1
ASD Metagenomics,PRJNA451479,Within Learning,1
ASD Metagenomics,PRJNA516054,Within Learning,0.958333333
ASD Metagenomics,PRJNA686821,Within Learning,1
CRC Metagenomics,PRJEB10878,LODO,0.814314314
CRC Metagenomics,PRJEB12449,LODO,0.740384615
CRC Metagenomics,PRJEB27928,LODO,0.889230769
CRC Metagenomics,PRJEB6070,LODO,0.673856773
CRC Metagenomics,PRJEB7774,LODO,0.757800106
CRC Metagenomics,PRJNA447983,LODO,0.830357143
CRC Metagenomics,PRJEB10878,Internal Validation,0.834435262
CRC Metagenomics,PRJEB12449,Internal Validation,0.827334377
CRC Metagenomics,PRJEB27928,Internal Validation,0.797648346
CRC Metagenomics,PRJEB6070,Internal Validation,0.772386942
CRC Metagenomics,PRJEB7774,Internal Validation,0.83048817
CRC Metagenomics,PRJNA447983,Internal Validation,0.826888889
CRC Metagenomics,PRJEB10878,Within Learning,0.987878788
CRC Metagenomics,PRJEB12449,Within Learning,0.691666667
CRC Metagenomics,PRJEB27928,Within Learning,0.929487179
CRC Metagenomics,PRJEB6070,Within Learning,0.688259109
CRC Metagenomics,PRJEB7774,Within Learning,0.776315789
CRC Metagenomics,PRJNA447983,Within Learning,0.833333333
CD Metagenomics,PRJEB15371,LODO,0.916530278
CD Metagenomics,PRJNA400072,LODO,0.917207792
CD Metagenomics,PRJNA487636,LODO,0.812065972
CD Metagenomics,SRP057027,LODO,0.81512605
CD Metagenomics,CD_PRJEB1220_justControl,Internal Validation,0.904939422
CD Metagenomics,PRJEB15371,Internal Validation,0.984693878
CD Metagenomics,PRJNA400072,Internal Validation,0.993984962
CD Metagenomics,PRJNA487636,Internal Validation,0.992815447
CD Metagenomics,SRP057027,Internal Validation,0.984553534
CD Metagenomics,PRJEB15371,Within Learning,1
CD Metagenomics,PRJNA400072,Within Learning,0.974747475
CD Metagenomics,PRJNA487636,Within Learning,0.879120879
CD Metagenomics,SRP057027,Within Learning,1
UC Metagenomics,PRJNA389280_UC,LODO,0.733333333
UC Metagenomics,PRJNA400072_UC,LODO,0.761983083
UC Metagenomics,PRJNA487636_UC,LODO,0.806640625
UC Metagenomics,PRJNA389280_UC,Internal Validation,0.8125
UC Metagenomics,PRJNA400072_UC,Internal Validation,0.864583333
UC Metagenomics,PRJNA487636_UC,Internal Validation,0.892857143
UC Metagenomics,PRJNA389280_UC,Within Learning,0.5
UC Metagenomics,PRJNA400072_UC,Within Learning,0.940340909
UC Metagenomics,PRJNA487636_UC,Within Learning,0.846153846
