phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.9659793670000001,0.004844064027964245
AD Amplicon,LODO,0.6813131613333333,0.13202398943390592
AD Amplicon,Within Learning,0.9719753086666666,0.02320495085813819
ASD Amplicon,Internal Validation,0.9485437446666666,0.045709251511781845
ASD Amplicon,LODO,0.5453466553333334,0.07560135397848275
ASD Amplicon,Within Learning,0.8657407406666667,0.09012927022050111
ASD Metagenomics,Internal Validation,0.91353975875,0.035591088435784575
ASD Metagenomics,LODO,0.70159951425,0.13306868428728236
ASD Metagenomics,Within Learning,0.98958333325,0.010416666749999996
CD Metagenomics,Internal Validation,0.9721974486,0.016929668240200643
CD Metagenomics,LODO,0.865232523,0.029819217848838293
CD Metagenomics,Within Learning,0.9634670885000001,0.028738530207633756
CRC Metagenomics,Internal Validation,0.8148636643333332,0.010046452841265315
CRC Metagenomics,LODO,0.7843239533333333,0.031016712762882273
CRC Metagenomics,Within Learning,0.8178234775000001,0.050349942437740394
Delivery_mode_6month Amplicon,Internal Validation,0.6243453194999999,0.029708933328017585
Delivery_mode_6month Amplicon,LODO,0.619617895,0.029155039090395816
Delivery_mode_6month Amplicon,Within Learning,0.593036253,0.11498437328940993
Delivery_mode_month Amplicon,Internal Validation,0.7605494345714285,0.010137978853253895
Delivery_mode_month Amplicon,LODO,0.7623811484285714,0.011941257558062987
Delivery_mode_month Amplicon,Within Learning,0.7522103922857143,0.07182929928746984
Delivery_mode_year Amplicon,Internal Validation,0.59588300025,0.018427045066182465
Delivery_mode_year Amplicon,LODO,0.591318846375,0.012722208512670164
Delivery_mode_year Amplicon,Within Learning,0.6459844370000001,0.033747007439031994
PD Amplicon,Internal Validation,0.8887016560000001,0.03545393165575016
PD Amplicon,LODO,0.5513313440000001,0.09475312849299738
PD Amplicon,Within Learning,0.92629937625,0.07370062375
T2D Amplicon,Internal Validation,0.817032967,0.07527472500000004
T2D Amplicon,LODO,0.6086109195,0.08187295150000001
T2D Amplicon,Within Learning,0.817032967,0.07527472500000004
UC Metagenomics,Internal Validation,0.8566468253333334,0.023534079708923576
UC Metagenomics,LODO,0.7673190136666667,0.021329509153228076
UC Metagenomics,Within Learning,0.7621649183333333,0.1338726185753756
