train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJEB13896 WHEALS_T6month,PRJEB48451 JORVI_T6month,51,100.0,0.7644230769230769,0.7580645161290323,0.35294117647058826,0.6,0.4444444444444444
PRJEB13896 WHEALS_T6month,PRJNA339264 INFANTMET_T6month,51,100.0,0.6121388301620858,0.42105263157894735,0.3333333333333333,0.023255813953488372,0.043478260869565216
PRJEB13896 WHEALS_T6month,SDY1646 MARC43_T6month,51,100.0,0.6516472868217054,0.6521739130434783,0.5517241379310345,0.37209302325581395,0.4444444444444444
PRJEB48451 JORVI_T6month,PRJEB13896 WHEALS_T6month,51,100.0,0.6543076317859953,0.5694444444444444,0.0,0.0,0.0
PRJEB48451 JORVI_T6month,PRJNA339264 INFANTMET_T6month,51,100.0,0.6054439746300212,0.4342105263157895,0.0,0.0,0.0
PRJEB48451 JORVI_T6month,SDY1646 MARC43_T6month,51,100.0,0.6049741602067182,0.6260869565217392,0.0,0.0,0.0
PRJNA339264 INFANTMET_T6month,PRJEB13896 WHEALS_T6month,51,100.0,0.6330645161290323,0.4513888888888889,0.43795620437956206,0.967741935483871,0.6030150753768844
PRJNA339264 INFANTMET_T6month,PRJEB48451 JORVI_T6month,51,100.0,0.6596153846153846,0.16129032258064516,0.16129032258064516,1.0,0.2777777777777778
PRJNA339264 INFANTMET_T6month,SDY1646 MARC43_T6month,51,100.0,0.6429263565891473,0.46956521739130436,0.40816326530612246,0.9302325581395349,0.5673758865248227
SDY1646 MARC43_T6month,PRJEB13896 WHEALS_T6month,51,100.0,0.6045436664044059,0.5763888888888888,0.6,0.04838709677419355,0.08955223880597014
SDY1646 MARC43_T6month,PRJEB48451 JORVI_T6month,51,100.0,0.6375000000000001,0.8548387096774194,1.0,0.1,0.18181818181818182
SDY1646 MARC43_T6month,PRJNA339264 INFANTMET_T6month,51,100.0,0.629492600422833,0.5723684210526315,0.6363636363636364,0.5697674418604651,0.6012269938650306
