train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
ERP111347 NOMIC_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.8275346053123831,0.7807017543859649,0.6666666666666666,0.48484848484848486,0.5614035087719298
ERP111347 NOMIC_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.7180232558139534,0.8431372549019608,0.5,0.125,0.2
ERP111347 NOMIC_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.6832503351848305,0.7021943573667712,0.4716981132075472,0.2717391304347826,0.3448275862068966
ERP111347 NOMIC_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.7125307125307125,0.7708333333333334,0.0,0.0,0.0
ERP111347 NOMIC_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.7487179487179487,0.5401459854014599,1.0,0.03076923076923077,0.05970149253731343
ERP111347 NOMIC_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.6701238576238576,0.7128712871287128,0.4157303370786517,0.5138888888888888,0.45962732919254656
PRJEB13896 WHEALS_T1month,ERP111347 NOMIC_T1month,42,100.0,0.7773083304394799,0.7134020618556701,0.5657894736842105,0.5408805031446541,0.5530546623794212
PRJEB13896 WHEALS_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.7790697674418605,0.803921568627451,0.4166666666666667,0.625,0.5
PRJEB13896 WHEALS_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.7381009385175255,0.7115987460815048,0.0,0.0,0.0
PRJEB13896 WHEALS_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.9017199017199018,0.8125,0.75,0.2727272727272727,0.4
PRJEB13896 WHEALS_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.6997863247863247,0.5255474452554745,0.0,0.0,0.0
PRJEB13896 WHEALS_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.6893338143338142,0.7623762376237624,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,ERP111347 NOMIC_T1month,42,100.0,0.6198344715823592,0.6721649484536083,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.7723531612420501,0.7105263157894737,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.6230607163378664,0.7115987460815048,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.800982800982801,0.7708333333333334,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.5670940170940172,0.5255474452554745,0.0,0.0,0.0
PRJEB48451 JORVI_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.5810786435786436,0.7623762376237624,0.0,0.0,0.0
PRJNA296814 NHBCS_T1month,ERP111347 NOMIC_T1month,42,100.0,0.7335629123741174,0.6845360824742268,0.5454545454545454,0.22641509433962265,0.32
PRJNA296814 NHBCS_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.809951365506921,0.7105263157894737,0.0,0.0,0.0
PRJNA296814 NHBCS_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.7107558139534884,0.8431372549019608,0.0,0.0,0.0
PRJNA296814 NHBCS_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.8157248157248158,0.7708333333333334,0.0,0.0,0.0
PRJNA296814 NHBCS_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.761965811965812,0.5255474452554745,0.5,0.03076923076923077,0.057971014492753624
PRJNA296814 NHBCS_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.7348484848484849,0.759075907590759,0.3333333333333333,0.013888888888888888,0.02666666666666667
PRJNA322188 HOUSTON_T1month,ERP111347 NOMIC_T1month,42,100.0,0.598159509202454,0.6721649484536083,0.0,0.0,0.0
PRJNA322188 HOUSTON_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.7903105125327348,0.7105263157894737,0.0,0.0,0.0
PRJNA322188 HOUSTON_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.8430232558139535,0.8627450980392157,0.6666666666666666,0.25,0.36363636363636365
PRJNA322188 HOUSTON_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.7610132158590307,0.7115987460815048,0.0,0.0,0.0
PRJNA322188 HOUSTON_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.6605769230769231,0.5255474452554745,0.0,0.0,0.0
PRJNA322188 HOUSTON_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.6810064935064934,0.7623762376237624,0.0,0.0,0.0
PRJNA339264 INFANTMET_T1month,ERP111347 NOMIC_T1month,42,100.0,0.7499807076436317,0.6164948453608248,0.45768025078369906,0.9182389937106918,0.6108786610878661
PRJNA339264 INFANTMET_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.7878787878787878,0.6929824561403509,0.48333333333333334,0.8787878787878788,0.6236559139784946
PRJNA339264 INFANTMET_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.752906976744186,0.47058823529411764,0.22857142857142856,1.0,0.37209302325581395
PRJNA339264 INFANTMET_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.7574219498180426,0.6959247648902821,0.48502994011976047,0.8804347826086957,0.6254826254826255
PRJNA339264 INFANTMET_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.7886977886977886,0.7291666666666666,0.45,0.8181818181818182,0.5806451612903226
PRJNA339264 INFANTMET_T1month,PRJNA417357 COPSAC_T1month,42,100.0,0.7016293891293891,0.6336633663366337,0.3673469387755102,0.75,0.4931506849315068
PRJNA417357 COPSAC_T1month,ERP111347 NOMIC_T1month,42,100.0,0.7912663502720222,0.6721649484536083,0.0,0.0,0.0
PRJNA417357 COPSAC_T1month,PRJEB13896 WHEALS_T1month,42,100.0,0.8120089786756454,0.7105263157894737,0.0,0.0,0.0
PRJNA417357 COPSAC_T1month,PRJEB48451 JORVI_T1month,42,100.0,0.7688953488372092,0.8431372549019608,0.0,0.0,0.0
PRJNA417357 COPSAC_T1month,PRJNA296814 NHBCS_T1month,42,100.0,0.7892405669411989,0.7178683385579937,0.5277777777777778,0.20652173913043478,0.296875
PRJNA417357 COPSAC_T1month,PRJNA322188 HOUSTON_T1month,42,100.0,0.7751842751842752,0.7708333333333334,0.0,0.0,0.0
PRJNA417357 COPSAC_T1month,PRJNA339264 INFANTMET_T1month,42,100.0,0.6523504273504274,0.5401459854014599,0.6,0.09230769230769231,0.16
