train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
ERP111347 NOMIC_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.5778846153846154,0.8387096774193549,0.0,0.0,0.0
ERP111347 NOMIC_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5508207070707071,0.8608695652173913,0.0,0.0,0.0
ERP111347 NOMIC_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.6740079365079364,0.660377358490566,0.0,0.0,0.0
ERP111347 NOMIC_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.6201844818231146,0.6814814814814815,0.3333333333333333,0.13157894736842105,0.18867924528301888
ERP111347 NOMIC_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5402029274783766,0.7806603773584906,0.3333333333333333,0.03333333333333333,0.06060606060606061
ERP111347 NOMIC_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5067396034816247,0.8822055137844611,0.0,0.0,0.0
ERP111347 NOMIC_T1year,SRP152384 OULU_T1year,45,100.0,0.5538132573057732,0.7261904761904762,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5718118880832412,0.6970588235294117,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5785984848484849,0.8608695652173913,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.7218253968253968,0.660377358490566,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.5811177428106348,0.7185185185185186,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5225548902195608,0.7877358490566038,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.49111460348162467,0.8822055137844611,0.0,0.0,0.0
PRJEB48451 JORVI_T1year,SRP152384 OULU_T1year,45,100.0,0.6903064861012117,0.7261904761904762,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5437917332350171,0.6970588235294117,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.585576923076923,0.8387096774193549,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.6061507936507936,0.660377358490566,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.6496201844818231,0.7185185185185186,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5299401197604791,0.7877358490566038,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.62454666344294,0.8822055137844611,0.0,0.0,0.0
PRJNA273694 SKOT1_T1year,SRP152384 OULU_T1year,45,100.0,0.6012116892373486,0.7261904761904762,0.0,0.0,0.0
PRJNA273694 SKOT2_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5722625046085781,0.6970588235294117,0.0,0.0,0.0
PRJNA273694 SKOT2_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.6730769230769231,0.5967741935483871,0.25806451612903225,0.8,0.3902439024390244
PRJNA273694 SKOT2_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5631313131313131,0.7217391304347827,0.16666666666666666,0.25,0.2
PRJNA273694 SKOT2_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.588307107976126,0.7333333333333333,0.6,0.15789473684210525,0.25
PRJNA273694 SKOT2_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5074184963406521,0.7877358490566038,0.0,0.0,0.0
PRJNA273694 SKOT2_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5816912475822051,0.8145363408521303,0.13513513513513514,0.10638297872340426,0.11904761904761904
PRJNA273694 SKOT2_T1year,SRP152384 OULU_T1year,45,100.0,0.5965787598004276,0.6547619047619048,0.4,0.5217391304347826,0.4528301886792453
PRJNA296814 NHBCS_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5609970914751546,0.6970588235294117,0.0,0.0,0.0
PRJNA296814 NHBCS_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.7057692307692308,0.8387096774193549,0.0,0.0,0.0
PRJNA296814 NHBCS_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.6136363636363636,0.8608695652173913,0.0,0.0,0.0
PRJNA296814 NHBCS_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.6680555555555556,0.660377358490566,0.0,0.0,0.0
PRJNA296814 NHBCS_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5556387225548902,0.7877358490566038,0.0,0.0,0.0
PRJNA296814 NHBCS_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5592359767891683,0.8370927318295739,0.15384615384615385,0.0851063829787234,0.1095890410958904
PRJNA296814 NHBCS_T1year,SRP152384 OULU_T1year,45,100.0,0.7013542409123307,0.7261904761904762,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5281430502642251,0.6970588235294117,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.6451923076923077,0.8387096774193549,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5063131313131313,0.8608695652173913,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.5194444444444445,0.660377358490566,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.5405588714053173,0.7185185185185186,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5732894100580271,0.7994987468671679,0.13333333333333333,0.1276595744680851,0.13043478260869565
