phenotype,dataset,protocol,auc
AD Amplicon,PRJNA489760,LODO,0.758888889
AD Amplicon,PRJNA554111,LODO,0.518117902
AD Amplicon,PRJNA633959,LODO,0.604788732
AD Amplicon,PRJNA489760,Internal Validation,0.956521739
AD Amplicon,PRJNA554111,Internal Validation,0.985347985
AD Amplicon,PRJNA633959,Internal Validation,0.977777778
AD Amplicon,PRJNA489760,Within Learning,1
AD Amplicon,PRJNA554111,Within Learning,0.882716049
AD Amplicon,PRJNA633959,Within Learning,0.968333333
ASD Metagenomics,PRJEB23052,LODO,0.884471118
ASD Metagenomics,PRJNA451479,LODO,0.854444444
ASD Metagenomics,PRJNA516054,LODO,0.440692641
ASD Metagenomics,PRJNA686821,LODO,0.715
ASD Metagenomics,PRJEB23052,Internal Validation,0.811111111
ASD Metagenomics,PRJNA451479,Internal Validation,0.879807692
ASD Metagenomics,PRJNA516054,Internal Validation,0.989417989
ASD Metagenomics,PRJNA686821,Internal Validation,0.884615385
ASD Metagenomics,PRJEB23052,Within Learning,0.981481481
ASD Metagenomics,PRJNA451479,Within Learning,0.972222222
ASD Metagenomics,PRJNA516054,Within Learning,0.916666667
ASD Metagenomics,PRJNA686821,Within Learning,1
ASD Amplicon,PRJEB27306,LODO,0.451612903
ASD Amplicon,PRJNA453621,LODO,0.680766786
ASD Amplicon,PRJNA687773,LODO,0.518648019
ASD Amplicon,PRJEB27306,Internal Validation,0.994883041
ASD Amplicon,PRJNA453621,Internal Validation,0.766666667
ASD Amplicon,PRJNA687773,Internal Validation,0.999159664
ASD Amplicon,PRJEB27306,Within Learning,0.75
ASD Amplicon,PRJNA453621,Within Learning,1
ASD Amplicon,PRJNA687773,Within Learning,0.895833333
CD Metagenomics,PRJEB15371,LODO,0.968903437
CD Metagenomics,PRJNA400072,LODO,0.919034091
CD Metagenomics,PRJNA487636,LODO,0.794704861
CD Metagenomics,SRP057027,LODO,0.806076277
CD Metagenomics,CD_PRJEB1220_justControl,Internal Validation,0.88583411
CD Metagenomics,PRJEB15371,Internal Validation,0.971488595
CD Metagenomics,PRJNA400072,Internal Validation,0.992481203
CD Metagenomics,PRJNA487636,Internal Validation,0.987127675
CD Metagenomics,SRP057027,Internal Validation,0.97312738
CD Metagenomics,PRJEB15371,Within Learning,1
CD Metagenomics,PRJNA400072,Within Learning,0.974747475
CD Metagenomics,PRJNA487636,Within Learning,0.813186813
CD Metagenomics,SRP057027,Within Learning,1
CRC Metagenomics,PRJEB10878,LODO,0.84984985
CRC Metagenomics,PRJEB12449,LODO,0.737732095
CRC Metagenomics,PRJEB27928,LODO,0.896153846
CRC Metagenomics,PRJEB6070,LODO,0.671268335
CRC Metagenomics,PRJEB7774,LODO,0.766613785
CRC Metagenomics,PRJNA447983,LODO,0.862723214
CRC Metagenomics,PRJEB10878,Internal Validation,0.823415978
CRC Metagenomics,PRJEB12449,Internal Validation,0.818988002
CRC Metagenomics,PRJEB27928,Internal Validation,0.789991797
CRC Metagenomics,PRJEB6070,Internal Validation,0.769092543
CRC Metagenomics,PRJEB7774,Internal Validation,0.804132974
CRC Metagenomics,PRJNA447983,Internal Validation,0.805111111
CRC Metagenomics,PRJEB10878,Within Learning,0.981818182
CRC Metagenomics,PRJEB12449,Within Learning,0.675
CRC Metagenomics,PRJEB27928,Within Learning,0.929487179
CRC Metagenomics,PRJEB6070,Within Learning,0.692307692
CRC Metagenomics,PRJEB7774,Within Learning,0.824561404
CRC Metagenomics,PRJNA447983,Within Learning,0.916666667
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.610247836
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.661538462
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.621740662
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.617248062
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.647556391
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.636363636
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.551759834
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.65546875
