phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.973215834,0.008628375946211433
AD Amplicon,LODO,0.6272651743333334,0.07040729102919972
AD Amplicon,Within Learning,0.9503497940000001,0.03503063919278851
ASD Amplicon,Internal Validation,0.9202364573333334,0.07679481916843742
ASD Amplicon,LODO,0.5503425693333334,0.06802275088556417
ASD Amplicon,Within Learning,0.8819444443333334,0.07250212852345853
ASD Metagenomics,Internal Validation,0.89123804425,0.03678104080372534
ASD Metagenomics,LODO,0.7236520507499999,0.10128767121071204
ASD Metagenomics,Within Learning,0.9675925925,0.017930478339908906
CD Metagenomics,Internal Validation,0.9620117925999999,0.019462268511322465
CD Metagenomics,LODO,0.8721796665,0.042742278508925265
CD Metagenomics,Within Learning,0.9469835719999999,0.044994342518861814
CRC Metagenomics,Internal Validation,0.8017887341666666,0.008141037569764559
CRC Metagenomics,LODO,0.7973901875,0.03520780094012336
CRC Metagenomics,Within Learning,0.8366401873333333,0.05266458893220364
Delivery_mode_6month Amplicon,Internal Validation,0.62278715275,0.02399792155678645
Delivery_mode_6month Amplicon,LODO,0.6276937555,0.01152669401934522
Delivery_mode_6month Amplicon,Within Learning,0.6839710535,0.037356794827330134
Delivery_mode_month Amplicon,Internal Validation,0.7519731041428572,0.011474999684762588
Delivery_mode_month Amplicon,LODO,0.758991388,0.01806121721227848
Delivery_mode_month Amplicon,Within Learning,0.7331731192857143,0.07175107432087673
Delivery_mode_year Amplicon,Internal Validation,0.59889282525,0.01483157944933381
Delivery_mode_year Amplicon,LODO,0.593639532625,0.01634894697867639
Delivery_mode_year Amplicon,Within Learning,0.765901433375,0.026837089344369146
PD Amplicon,Internal Validation,0.86922521675,0.042194827434749595
PD Amplicon,LODO,0.6168190235,0.032531075526085286
PD Amplicon,Within Learning,0.920851446,0.07798740764694842
T2D Amplicon,Internal Validation,0.8626373625,0.06043956049999999
T2D Amplicon,LODO,0.560691162,0.019470128000000027
T2D Amplicon,Within Learning,0.8626373625,0.06043956049999999
UC Metagenomics,Internal Validation,0.8603174603333333,0.035848925077304084
UC Metagenomics,LODO,0.818837839,0.02820474908312615
UC Metagenomics,Within Learning,0.7593240093333332,0.13199911739366074
