phenotype,dataset,protocol,auc
AD Amplicon,PRJNA489760,LODO,0.5666666666666667
AD Amplicon,PRJNA554111,LODO,0.4375338020551649
AD Amplicon,PRJNA633959,LODO,0.6255633802816901
AD Amplicon,PRJNA489760,Internal Validation,0.7616191904047975
AD Amplicon,PRJNA554111,Internal Validation,0.9120879120879122
AD Amplicon,PRJNA633959,Internal Validation,0.6844444444444444
AD Amplicon,PRJNA489760,Within Learning,0.763888888888889
AD Amplicon,PRJNA554111,Within Learning,0.6234567901234568
AD Amplicon,PRJNA633959,Within Learning,0.8500000000000001
ASD Metagenomics,PRJEB23052,LODO,0.6264066016504126
ASD Metagenomics,PRJNA451479,LODO,0.768888888888889
ASD Metagenomics,PRJNA516054,LODO,0.5861471861471861
ASD Metagenomics,PRJNA686821,LODO,0.70625
ASD Metagenomics,PRJEB23052,Internal Validation,0.8055555555555556
ASD Metagenomics,PRJNA451479,Internal Validation,0.7283653846153846
ASD Metagenomics,PRJNA516054,Internal Validation,0.917989417989418
ASD Metagenomics,PRJNA686821,Internal Validation,0.8930288461538461
ASD Metagenomics,PRJEB23052,Within Learning,1.0
ASD Metagenomics,PRJNA451479,Within Learning,0.8611111111111112
ASD Metagenomics,PRJNA516054,Within Learning,0.8541666666666666
ASD Metagenomics,PRJNA686821,Within Learning,0.7428571428571429
ASD Amplicon,PRJEB27306,LODO,0.4348864994026284
ASD Amplicon,PRJNA453621,LODO,0.5175314196293217
ASD Amplicon,PRJNA687773,LODO,0.5556526806526807
ASD Amplicon,PRJEB27306,Internal Validation,0.9071637426900584
ASD Amplicon,PRJNA453621,Internal Validation,0.5619047619047619
ASD Amplicon,PRJNA687773,Internal Validation,0.9445378151260504
ASD Amplicon,PRJEB27306,Within Learning,0.5
ASD Amplicon,PRJNA453621,Within Learning,0.9762187871581451
ASD Amplicon,PRJNA687773,Within Learning,0.8402777777777778
CD Metagenomics,CD_PRJEB1220_justControl,LODO,
CD Metagenomics,PRJEB15371,LODO,0.9699945444626297
CD Metagenomics,PRJNA400072,LODO,0.9362824675324675
CD Metagenomics,PRJNA487636,LODO,0.8480902777777777
CD Metagenomics,SRP057027,LODO,0.8842921784098254
CD Metagenomics,CD_PRJEB1220_justControl,Internal Validation,0.9315004659832247
CD Metagenomics,PRJEB15371,Internal Validation,0.9747899159663866
CD Metagenomics,PRJNA400072,Internal Validation,0.9898496240601504
CD Metagenomics,PRJNA487636,Internal Validation,0.989821882951654
CD Metagenomics,SRP057027,Internal Validation,0.9949217096910706
CD Metagenomics,PRJEB15371,Within Learning,0.9875
CD Metagenomics,PRJNA400072,Within Learning,0.9848484848484849
CD Metagenomics,PRJNA487636,Within Learning,0.8791208791208791
CD Metagenomics,SRP057027,Within Learning,1.0
CRC Metagenomics,PRJEB10878,LODO,0.8946446446446447
CRC Metagenomics,PRJEB12449,LODO,0.7562997347480106
CRC Metagenomics,PRJEB27928,LODO,0.9076923076923077
CRC Metagenomics,PRJEB6070,LODO,0.6800690250215703
CRC Metagenomics,PRJEB7774,LODO,0.7870615194782303
CRC Metagenomics,PRJNA447983,LODO,0.8973214285714286
CRC Metagenomics,PRJEB10878,Internal Validation,0.8286501377410469
CRC Metagenomics,PRJEB12449,Internal Validation,0.8541992696922274
CRC Metagenomics,PRJEB27928,Internal Validation,0.7768662838392124
CRC Metagenomics,PRJEB6070,Internal Validation,0.8051811919736448
CRC Metagenomics,PRJEB7774,Internal Validation,0.781371668164121
CRC Metagenomics,PRJNA447983,Internal Validation,0.8304444444444445
CRC Metagenomics,PRJEB10878,Within Learning,0.9303030303030303
CRC Metagenomics,PRJEB12449,Within Learning,0.6791666666666667
CRC Metagenomics,PRJEB27928,Within Learning,0.9134615384615383
CRC Metagenomics,PRJEB6070,Within Learning,0.6194331983805668
CRC Metagenomics,PRJEB7774,Within Learning,0.7587719298245614
CRC Metagenomics,PRJNA447983,Within Learning,0.7500000000000001
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,LODO,0.6357199055861528
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,LODO,0.6432692307692308
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,LODO,0.5933756166314306
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,LODO,0.6353359173126615
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Internal Validation,0.7048872180451129
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Internal Validation,0.7861305361305362
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Internal Validation,0.5931677018633541
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Internal Validation,0.74765625
Delivery_mode_6month Amplicon,PRJEB13896 WHEALS_T6month,Within Learning,0.642156862745098
Delivery_mode_6month Amplicon,PRJEB48451 JORVI_T6month,Within Learning,0.5
Delivery_mode_6month Amplicon,PRJNA339264 INFANTMET_T6month,Within Learning,0.6623931623931624
Delivery_mode_6month Amplicon,SDY1646 MARC43_T6month,Within Learning,0.7380952380952381
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,LODO,0.75587452251418
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,LODO,0.8612046389824168
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,LODO,0.7936046511627907
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,LODO,0.8046351273702355
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,LODO,0.8329238329238329
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,LODO,0.7933760683760684
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,LODO,0.7365620490620491
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Internal Validation,0.7729958890030832
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Internal Validation,0.7650971696882745
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Internal Validation,0.8202180960801649
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Internal Validation,0.7888788426763111
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Internal Validation,0.822140484100617
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Internal Validation,0.7893474426807761
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Internal Validation,0.8005680840075744
Delivery_mode_month Amplicon,ERP111347 NOMIC_T1month,Within Learning,0.8774038461538461
Delivery_mode_month Amplicon,PRJEB13896 WHEALS_T1month,Within Learning,0.8482142857142857
Delivery_mode_month Amplicon,PRJEB48451 JORVI_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA296814 NHBCS_T1month,Within Learning,0.8442028985507246
Delivery_mode_month Amplicon,PRJNA322188 HOUSTON_T1month,Within Learning,0.5
Delivery_mode_month Amplicon,PRJNA339264 INFANTMET_T1month,Within Learning,0.8358974358974358
Delivery_mode_month Amplicon,PRJNA417357 COPSAC_T1month,Within Learning,0.6162613981762918
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,LODO,0.5168571545614682
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,LODO,0.639423076923077
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,LODO,0.5694444444444445
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,LODO,0.6317460317460317
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,LODO,0.5142430819316333
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,LODO,0.5336161011310712
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,LODO,0.5308268858800773
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,LODO,0.6357804704205273
