phenotype,protocol,mean_auc,sem_auc
AD Amplicon,Internal Validation,0.786050515645718,0.06684074189184411
AD Amplicon,LODO,0.5432546163345072,0.05552739158162668
AD Amplicon,Within Learning,0.7457818930041152,0.06602109248886626
ASD Amplicon,Internal Validation,0.804535439906957,0.12179414292631416
ASD Amplicon,LODO,0.502690199894877,0.03564320405460521
ASD Amplicon,Within Learning,0.7721655216453076,0.14162808441735122
ASD Metagenomics,Internal Validation,0.8362348010785511,0.04328818935943686
ASD Metagenomics,LODO,0.6719231691716219,0.04083499244696962
ASD Metagenomics,Within Learning,0.8645337301587301,0.0526588806127562
CD Metagenomics,Internal Validation,0.9761767197304974,0.011667056857521292
CD Metagenomics,LODO,0.9096648670456751,
CD Metagenomics,Within Learning,0.962867340992341,0.02811026327396484
CRC Metagenomics,Internal Validation,0.8127854993091161,0.012400900223297552
CRC Metagenomics,LODO,0.8205147766926987,0.0382805965641711
CRC Metagenomics,Within Learning,0.775189393939394,0.05084742584095782
Delivery_mode_6month Amplicon,Internal Validation,0.7079604265097508,0.041706453020591026
Delivery_mode_6month Amplicon,LODO,0.6269251675748689,0.011331331556229975
Delivery_mode_6month Amplicon,Within Learning,0.6356613158083746,0.049710398638657206
Delivery_mode_month Amplicon,Internal Validation,0.7941780011766859,0.008232647211857364
Delivery_mode_month Amplicon,LODO,0.7968829843416534,0.016065097369221387
Delivery_mode_month Amplicon,Within Learning,0.7174256949275121,0.06502540852901531
Delivery_mode_year Amplicon,Internal Validation,0.5901720369106915,0.011141978728842131
Delivery_mode_year Amplicon,LODO,0.5714921558797913,0.01969999077399938
Delivery_mode_year Amplicon,Within Learning,0.7061233034872453,0.03637442700663861
PD Amplicon,Internal Validation,0.799780645504486,0.02957290564283727
PD Amplicon,LODO,0.6829557724168275,0.02579878082054128
PD Amplicon,Within Learning,0.7357375732375733,0.09061990207800107
T2D Amplicon,Internal Validation,0.7821428571428571,0.12445054945054945
T2D Amplicon,LODO,0.5395629923523663,0.006337185900753272
T2D Amplicon,Within Learning,0.7821428571428571,0.12445054945054945
UC Metagenomics,Internal Validation,0.9432539682539683,0.009752544228130556
UC Metagenomics,LODO,0.8287837649679753,0.015436142182345984
UC Metagenomics,Within Learning,0.799562937062937,0.1499131990446044
