microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
Unassigned,kept,unknown,0.0042766827817032355,407.0869565217391,33.95516135483286,0.06666666666666667,4.393876220690685,0.02308696853725074
Unassigned.1,dropped,unknown,0.0011156563778356265,37.666666666666664,1.4100322547669464,0.03333333333333333,5.47722557505166,0.005887241798065168
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,kept,genus,0.13666790628486425,0.008784042220330883,0.01457696906529272,0.36666666666666664,1.8303131413067577,0.009574638408051358
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum,kept,genus,0.006322052807735217,0.004222980182091059,0.0009461366472191458,0.13333333333333333,3.0997017409481002,0.01803543619534524
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,kept,genus,0.5425808850873931,0.2649963032043981,0.23521394470183277,0.6333333333333333,0.8627174865413185,0.014688127811852202
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,kept,genus,0.11658609148382298,0.0013417517037231713,0.0021672364224519,0.23333333333333334,2.8182566127366027,0.02225657516005739
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,kept,genus,0.010226850130159911,0.0037447317554424207,0.0009652980764613754,0.13333333333333333,2.917736087890656,0.01738616294009844
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium,kept,genus,0.05708441799925623,0.0008299327915767335,0.0004995428738805547,0.23333333333333334,2.7089167751066427,0.00934596413328351
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,kept,genus,0.15414652287095573,0.026815579263552793,0.024757745669546187,0.6333333333333333,1.1944148376655934,0.017949041754494854
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,kept,genus,0.16158423205652658,0.0020728532944591627,0.0013784381370117828,0.4,1.7388678694693507,0.01339837945724612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,kept,genus,0.559687616214206,0.21442589604585446,0.2306254830062465,0.6333333333333333,0.8312726585291844,0.03830520616790587
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella,kept,genus,0.02714763852733358,0.010390355820865504,0.004534896458777348,0.26666666666666666,1.9797098066007786,0.02164428101077281
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,kept,genus,0.030494607660840462,0.005346212962580404,0.003774075614861809,0.26666666666666666,2.012876181277739,0.021749843402988436
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,kept,genus,0.16753439940498327,0.04406083131593146,0.06065908215888707,0.5,1.5013062660621568,0.013884034773500724
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,kept,genus,0.17720342134622535,0.01812046172452063,0.02351655924917851,0.6333333333333333,1.3090248118184926,0.017252692173126423
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,kept,genus,0.28226106359241354,0.02281305506179248,0.03775232593647083,0.6333333333333333,1.0332190622923043,0.028718664283057648
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,kept,genus,0.030866493120119003,0.0027221647443030576,0.0012809506473549445,0.36666666666666664,1.8269871117416987,0.020963843833235456
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Coprobacillus,kept,genus,0.0669393826701376,0.002120414358522909,0.0025516868710927856,0.26666666666666666,2.8700277916446595,0.012613037265673251
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,kept,genus,0.3843436221643734,0.028934302465384195,0.05407781558200115,0.6333333333333333,1.0730697792728845,0.020815875113546344
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003,kept,genus,0.08386017106731126,0.010773391074649676,0.008857803462773326,0.26666666666666666,2.1699063749484897,0.010797664181098258
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,kept,genus,0.08311640014875418,0.00303038594102039,0.0023568693101364965,0.26666666666666666,2.476762531377238,0.008949853508984428
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g___Clostridium__innocuum_group,kept,genus,0.25697285236147266,0.011279525305995512,0.01823858105838559,0.6333333333333333,1.2194487046919307,0.01714344531777984
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,kept,genus,0.11509854964670882,0.0009961905925015945,0.0007509623905836325,0.26666666666666666,2.2041438318037567,0.015944346279695973
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,kept,genus,0.38583116400148754,0.024058896956317386,0.03902454182514644,0.6333333333333333,0.9646252026365075,0.01855072668268666
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,kept,genus,0.3319077724060989,0.018250363653871775,0.029359208163940734,0.6333333333333333,1.0756978121551541,0.016361249584429867
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,kept,genus,0.04927482335440684,0.008176746765794312,0.009414235782520125,0.23333333333333334,3.501227568574499,0.014960823245520822
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,kept,genus,0.56377835626627,0.047853888196049556,0.07145230484736212,0.6333333333333333,0.8281550825024947,0.014932162897304969
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,kept,genus,0.09390107846783191,0.0005714852080074849,0.001199730654320474,0.26666666666666666,2.7452247668811527,0.018428263010928102
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,kept,genus,0.2058386017106731,0.017402792615497504,0.02513745313306755,0.23333333333333334,2.088641866635917,0.011518523652382677
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,kept,genus,0.05280773521755299,0.013902040649658822,0.012965680447624542,0.26666666666666666,2.1140219585343756,0.019891376570995364
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,kept,genus,0.5065079955373745,0.04896407732970191,0.08480327053581925,0.6333333333333333,0.8483902838890816,0.02780713592254857
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium,kept,genus,0.007251766455931573,0.003614060858869136,0.0004426433828218538,0.13333333333333333,4.063593443203885,0.023440195758442178
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,kept,family,0.1846411305317962,0.07224030624498319,0.06882342663615855,0.26666666666666666,2.043302864668539,0.012080375337886551
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,kept,genus,0.05076236519152101,0.010182545832382069,0.005001091123835202,0.36666666666666664,2.163638031432648,0.02015651122422694
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,kept,genus,0.42692450725176645,0.07177911764538207,0.0822582634101264,0.6333333333333333,1.0385681174980121,0.01756826664933579
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium,kept,genus,0.014875418371141688,0.02121152803822004,0.006939330499513968,0.36666666666666664,1.7106213589699542,0.010871728186592107
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,kept,genus,0.012086277426552623,0.05864250346692406,0.012368982325399682,0.13333333333333333,3.411283851132305,0.013047855824881941
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,kept,genus,0.15396058014131647,0.006874508452314501,0.009177923431400498,0.4,1.5752291526163784,0.014729206424957616
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,kept,genus,0.3183339531424321,0.014450107922732165,0.021511016295138526,0.6333333333333333,1.2384653357978264,0.017202356546931436
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,kept,genus,0.1158423205652659,0.008073639036939905,0.00917989739407242,0.4,1.8805529140100745,0.015295577774732923
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,kept,genus,0.005950167348456675,0.016410214800543575,0.002611538776160743,0.13333333333333333,4.103991784847701,0.018669081696201052
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,kept,genus,0.21383413908516177,0.012924792385070277,0.01477526789641023,0.6333333333333333,1.4553253582453616,0.013199966929149686
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,kept,genus,0.012458162885831164,0.016355346530939677,0.0027996487293813826,0.13333333333333333,3.6720984914267008,0.01599656814832365
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella,kept,genus,0.056154704351059875,0.015386474027183584,0.010111610946616495,0.36666666666666664,1.8728452303842125,0.01666189825270805
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Eubacterium__eligens_group,kept,genus,0.09854964670881368,0.011210845552400237,0.00754961977715272,0.26666666666666666,1.8264713297550925,0.022201746204515642
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Eubacterium__hallii_group,kept,genus,0.004090740052063964,0.03962505411246437,0.004949593443908956,0.13333333333333333,3.2510241825637154,0.021369809183429744
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Ruminococcus__gnavus_group,kept,species,0.19449609520267758,0.04142027834912776,0.04472076350139521,0.36666666666666664,1.747423433987077,0.016667875343644962
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Ruminococcus__torques_group,kept,species,0.10078095946448494,0.01655633417159277,0.018496549035159477,0.36666666666666664,2.3354278240020374,0.011527511690148429
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,kept,genus,0.12030494607660841,0.011590749691726672,0.0093738448841114,0.26666666666666666,1.7552365362046827,0.025051440297054625
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus,kept,genus,0.092599479360357,0.003350920586091984,0.0018958771271913412,0.26666666666666666,2.2543074510657015,0.014117407327127822
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,kept,genus,0.2491632577166233,0.006609444215491932,0.010491029434749418,0.6333333333333333,1.3028586076406647,0.013887725433705873
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,kept,genus,0.007065823726292302,0.006619446127320213,0.00106190194058447,0.13333333333333333,3.5397319143553267,0.01620021988952526
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured,kept,genus,0.06229081442915582,0.0014368193368544822,0.0008588962485594806,0.4,2.1142665419872526,0.011392108572264137
