microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
k__Archaea,kept,unknown,0.2956366874443455,0.9568829367469881,1.1593579958051665,0.8888888888888888,0.9197560603301469,0.03458142097845197
k__Archaea;p__Candidatus_Thermoplasmatota,dropped,phylum,0.036064113980409616,0.2694876543209877,0.10074080145122463,0.3333333333333333,1.8196029330897932,0.014611733706858114
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata,dropped,class,0.036064113980409616,0.2694876543209877,0.10074080145122463,0.3333333333333333,1.8196029330897932,0.026604947700770782
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales,dropped,order,0.036064113980409616,0.2694876543209877,0.10074080145122463,0.3333333333333333,1.8196029330897932,0.019469814618621902
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae,dropped,family,0.007123775601068566,0.2997525,0.053026225321701245,0.16666666666666666,2.419131459448841,0.022917663090370348
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae;g__Candidatus_Methanomethylophilus,dropped,genus,0.007123775601068566,0.2997525,0.053026225321701245,0.16666666666666666,2.419131459448841,0.021376468555675904
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae;g__Candidatus_Methanomethylophilus;s__Candidatus_Methanomethylophilus_alvus,dropped,species,0.007123775601068566,0.2997525,0.053026225321701245,0.16666666666666666,2.419131459448841,0.026134076510026336
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae,dropped,family,0.018699910952804988,0.19220476190476193,0.04302905946112679,0.3333333333333333,1.8850932456100982,0.005525982458716279
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__GGB260,dropped,genus,0.0004452359750667854,0.0491,0.0010360402217340584,0.05555555555555555,4.242640687119286,0.012538959042907956
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__GGB260;s__GGB260_SGB362,dropped,species,0.0004452359750667854,0.0491,0.0010360402217340584,0.05555555555555555,4.242640687119286,0.02169315651042944
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified,dropped,genus,0.015138023152270703,0.1944767647058823,0.040202058482437825,0.3333333333333333,1.9000826406742084,0.025712376005896938
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_archaeon_DOK,dropped,species,0.008014247551202136,0.14985444444444446,0.022410390211598442,0.2777777777777778,2.286592325809695,0.015727175823223975
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_unclassified_SGB380,dropped,species,0.008904719501335707,0.19573999999999997,0.032999626076398,0.2777777777777778,2.067089815706705,0.01883149454068195
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus,dropped,genus,0.003561887800534283,0.17641125,0.015080994553428647,0.16666666666666666,2.6725576853973907,0.01565393157197374
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis,dropped,species,0.003116651825467498,0.20156142857142859,0.015080999319960499,0.16666666666666666,2.8765363765831484,0.013618109992009826
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus_SGB58821,dropped,species,0.0004452359750667854,0.00036,7.5962215850155e-06,0.05555555555555555,4.242640687119284,0.00665541696026408
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified,dropped,family,0.015138023152270703,0.2635252941176471,0.06594211777689034,0.2777777777777778,2.1472702624777322,0.012428140761296502
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified,dropped,genus,0.015138023152270703,0.2635252941176471,0.06594211777689034,0.2777777777777778,2.1472702624777322,0.042319031061293255
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified;s__Methanomassiliicoccales_archaeon,dropped,species,0.015138023152270703,0.16970093137254902,0.03805970515518051,0.2777777777777778,2.1472702624777322,0.011446975706268384
k__Archaea;p__Crenarchaeota,dropped,phylum,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.00629356036633724
k__Archaea;p__Crenarchaeota;c__Thermoprotei,dropped,class,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.016947517841779385
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales,dropped,order,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.029572678197988197
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae,dropped,family,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.007936167194152754
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__GGB1567,dropped,genus,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.021389458890013334
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__GGB1567;s__GGB1567_SGB2154,dropped,species,0.009795191451469279,0.5632227272727273,0.08056612217405144,0.3333333333333333,2.277972347399941,0.015044601117289884
k__Archaea;p__Euryarchaeota,kept,phylum,0.18432769367764915,0.9164250483091789,1.028297334935651,0.3333333333333333,1.5023561496702762,0.04096672528948037
k__Archaea;p__Euryarchaeota;c__CFGB343,dropped,class,0.0427426536064114,1.1197052542708334,0.6818691754750168,0.3333333333333333,2.0866525310027755,0.03063409472775574
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343,dropped,order,0.0427426536064114,1.1197052894583335,0.6818691754162259,0.3333333333333333,2.0866525310027755,0.021645300550152104
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343,dropped,family,0.0427426536064114,1.1197052894583335,0.6818691754162259,0.3333333333333333,2.0866525310027755,0.04641304028757013
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343;g__GGB781,dropped,genus,0.0427426536064114,1.1197052083333334,0.6818691756082388,0.3333333333333333,2.0866525310027755,0.013203313256546856
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343;g__GGB781;s__GGB781_SGB1024,dropped,species,0.0427426536064114,1.1197052083333334,0.6818691756082388,0.3333333333333333,2.0866525310027755,0.010685921478391359
k__Archaea;p__Euryarchaeota;c__Methanobacteria,kept,class,0.1714158504007124,0.7062574620857144,0.7273789243629846,0.3333333333333333,1.5045844860417223,0.027154633275333392
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,kept,order,0.1714158504007124,0.7062574620233766,0.7273789241862615,0.3333333333333333,1.5045844860417223,0.02495755059202874
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,kept,family,0.1714158504007124,0.7062574635246752,0.727378925134621,0.3333333333333333,1.5045844860417223,0.018791138585009887
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__GGB519,dropped,genus,0.002226179875333927,0.69873,0.04103953067731739,0.05555555555555555,4.242640687119286,0.017176426438832704
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__GGB519;s__GGB519_SGB697,dropped,species,0.002226179875333927,0.69873,0.04103953067731739,0.05555555555555555,4.242640687119286,0.03587222098930463
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacteriaceae_unclassified,dropped,genus,0.0026714158504007124,0.5586266666666667,0.05114702166453877,0.1111111111111111,3.552736143540792,0.017796817713018644
