microbe,status
Unassigned.1,dropped
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__,dropped
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__SCA1170,dropped
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__gargensis,dropped
k__Archaea;_p__Euryarchaeota;_c__Methanobacteria;_o__Methanobacteriales;_f__Methanobacteriaceae;_g__Methanobrevibacter;_s__.1,dropped
k__Archaea;_p__Euryarchaeota;_c__Methanomicrobia;_o__Methanomicrobiales;_f__Methanocorpusculaceae;_g__;_s__,dropped
k__Archaea;_p__Euryarchaeota;_c__Thermoplasmata;_o__E2;_f___Methanomassiliicoccaceae_;_g__vadinCA11;_s__,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus,dropped
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__Methanomassiliicoccus;s__,dropped
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__vadinCA11;s__,dropped
k__Bacteria.131,dropped
k__Bacteria.132,dropped
k__Bacteria.133,dropped
k__Bacteria.134,dropped
k__Bacteria.135,dropped
k__Bacteria.136,dropped
k__Bacteria.137,dropped
k__Bacteria.138,dropped
k__Bacteria.139,dropped
k__Bacteria.140,dropped
k__Bacteria.141,dropped
k__Bacteria.142,dropped
k__Bacteria.143,dropped
k__Bacteria.144,dropped
k__Bacteria.145,dropped
k__Bacteria.146,dropped
k__Bacteria.147,dropped
k__Bacteria.148,dropped
k__Bacteria.149,dropped
k__Bacteria.150,dropped
k__Bacteria.151,dropped
k__Bacteria.152,dropped
k__Bacteria.153,dropped
k__Bacteria.154,dropped
k__Bacteria.155,dropped
k__Bacteria.156,dropped
k__Bacteria.157,dropped
k__Bacteria.158,dropped
k__Bacteria.159,dropped
k__Bacteria.160,dropped
k__Bacteria.161,dropped
k__Bacteria.162,dropped
k__Bacteria.163,dropped
k__Bacteria.164,dropped
k__Bacteria.165,dropped
k__Bacteria.166,dropped
k__Bacteria.167,dropped
k__Bacteria.168,dropped
k__Bacteria.169,dropped
k__Bacteria.170,dropped
k__Bacteria.171,dropped
k__Bacteria.172,dropped
k__Bacteria.173,dropped
k__Bacteria.174,dropped
k__Bacteria.175,dropped
k__Bacteria.176,dropped
k__Bacteria.177,dropped
k__Bacteria.178,dropped
k__Bacteria.179,dropped
k__Bacteria.180,dropped
k__Bacteria.181,dropped
k__Bacteria.182,dropped
k__Bacteria.183,dropped
k__Bacteria.184,dropped
k__Bacteria.185,dropped
k__Bacteria.186,dropped
k__Bacteria.187,dropped
