microbe,status
k__Archaea;p__Candidatus_Thermoplasmatota,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae;g__Candidatus_Methanomethylophilus,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae;g__Candidatus_Methanomethylophilus;s__Candidatus_Methanomethylophilus_alvus,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__GGB260,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__GGB260;s__GGB260_SGB362,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_archaeon_DOK,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_unclassified_SGB380,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus_SGB58821,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified,dropped
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified;s__Methanomassiliicoccales_archaeon,dropped
k__Archaea;p__Crenarchaeota,dropped
k__Archaea;p__Crenarchaeota;c__Thermoprotei,dropped
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales,dropped
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae,dropped
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__GGB1567,dropped
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__GGB1567;s__GGB1567_SGB2154,dropped
k__Archaea;p__Euryarchaeota;c__CFGB343,dropped
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343,dropped
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343,dropped
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343;g__GGB781,dropped
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343;g__GGB781;s__GGB781_SGB1024,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__GGB519,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__GGB519;s__GGB519_SGB697,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacteriaceae_unclassified,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacteriaceae_unclassified;s__Methanobacteriaceae_archaeon,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_formicicum,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp_MB1,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_oralis,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_woesei,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_cuniculi,dropped
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae,dropped
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter_s__Methanobrevibacter_arboriphilus,dropped
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera,dropped
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera_s__Methanosphaera_stadtmanae,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus_s__Candidatus_Methanomethylophilus_alvus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus_s__Candidatus_Methanomassiliicoccus_intestinalis,dropped
