percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.6404951950678641,0.1128566745830648,7
0.05,Internal Validation,0.7370789628383202,0.14623921525744302,7
0.05,Within Learning,0.7587918046543706,0.18728582541998298,7
0.1,LODO,0.6269462563969127,0.13163289596264421,7
0.1,Internal Validation,0.7392940193387008,0.14820669278863927,7
0.1,Within Learning,0.753530151242748,0.18848982879268872,7
0.15,LODO,0.6361215592672572,0.13069554803209046,7
0.15,Internal Validation,0.7530344814271412,0.1521307382589319,7
0.15,Within Learning,0.7523639900608525,0.19400564527083514,7
0.2,LODO,0.6363613442170213,0.12629650114179924,7
0.2,Internal Validation,0.7575763323227693,0.15414764831396302,7
0.2,Within Learning,0.7595006364171435,0.18216240417314664,7
0.25,LODO,0.6467131514447306,0.1150795400386084,7
0.25,Internal Validation,0.7563779891519096,0.1504270382015685,7
0.25,Within Learning,0.7782666155577235,0.15691907514736436,7
0.3,LODO,0.6418726994225924,0.12609148436814838,7
0.3,Internal Validation,0.7570769707112518,0.147249434263402,7
0.3,Within Learning,0.7661059174449433,0.18145448907534226,7
0.35,LODO,0.6418174909382033,0.1218022389961184,7
0.35,Internal Validation,0.756941166919744,0.14941994282724735,7
0.35,Within Learning,0.768925952438425,0.16425551243206485,7
0.4,LODO,0.6544129024934062,0.11891707603111835,7
0.4,Internal Validation,0.7596773405471607,0.1499300111089943,7
0.4,Within Learning,0.7640225867676717,0.18578436311185523,7
0.45,LODO,0.6566048282557434,0.12164821355554753,7
0.45,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.45,Within Learning,0.7640225867676717,0.18578436311185523,7
0.5,LODO,0.6566048282557434,0.12164821355554753,7
0.5,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.5,Within Learning,0.7640225867676717,0.18578436311185523,7
0.55,LODO,0.6566048282557434,0.12164821355554753,7
0.55,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.55,Within Learning,0.7640225867676717,0.18578436311185523,7
0.6,LODO,0.6566048282557434,0.12164821355554753,7
0.6,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.6,Within Learning,0.7640225867676717,0.18578436311185523,7
0.65,LODO,0.6566048282557434,0.12164821355554753,7
0.65,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.65,Within Learning,0.7640225867676717,0.18578436311185523,7
0.7,LODO,0.6566048282557434,0.12164821355554753,7
0.7,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.7,Within Learning,0.7640225867676717,0.18578436311185523,7
0.75,LODO,0.6566048282557434,0.12164821355554753,7
0.75,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.75,Within Learning,0.7640225867676717,0.18578436311185523,7
0.8,LODO,0.6566048282557434,0.12164821355554753,7
0.8,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.8,Within Learning,0.7640225867676717,0.18578436311185523,7
0.85,LODO,0.6566048282557434,0.12164821355554753,7
0.85,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.85,Within Learning,0.7640225867676717,0.18578436311185523,7
0.9,LODO,0.6566048282557434,0.12164821355554753,7
0.9,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.9,Within Learning,0.7640225867676717,0.18578436311185523,7
0.95,LODO,0.6566048282557434,0.12164821355554753,7
0.95,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.95,Within Learning,0.7640225867676717,0.18578436311185523,7
