percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.6275437391570049,0.1294273550337402,7
0.05,Internal Validation,0.7315276294536679,0.13064604459828227,7
0.05,Within Learning,0.764017521318316,0.18884494744543479,7
0.1,LODO,0.6432685712767154,0.10813311414299044,7
0.1,Internal Validation,0.7361901417716405,0.14240056206130566,7
0.1,Within Learning,0.7698887243380368,0.168710763469998,7
0.15,LODO,0.6397326783460733,0.11970697899361585,7
0.15,Internal Validation,0.7357973212223767,0.1460270722974946,7
0.15,Within Learning,0.7637251684780083,0.1647304578396277,7
0.2,LODO,0.6371861948288238,0.12430006936397767,7
0.2,Internal Validation,0.7557219703207445,0.14388695028361087,7
0.2,Within Learning,0.7592238805033692,0.18772242935555156,7
0.25,LODO,0.636207162150573,0.12234501440976785,7
0.25,Internal Validation,0.7473529291765217,0.1477479092125945,7
0.25,Within Learning,0.7498753957196194,0.1883121545203922,7
0.3,LODO,0.6433882746911956,0.12604271873537437,7
0.3,Internal Validation,0.7553836506708372,0.14497294051454815,7
0.3,Within Learning,0.7702120037368021,0.1625880528797604,7
0.35,LODO,0.6401051746482295,0.1222096674241932,7
0.35,Internal Validation,0.7544705583251942,0.14757132614249935,7
0.35,Within Learning,0.7584133772074595,0.18477364054179685,7
0.4,LODO,0.6442752749769901,0.12094249651945103,7
0.4,Internal Validation,0.7574577117392852,0.146718829368275,7
0.4,Within Learning,0.763615760582173,0.18301042787514193,7
0.45,LODO,0.6452932754249301,0.12138818652106861,7
0.45,Internal Validation,0.7520823233351662,0.15349835931824707,7
0.45,Within Learning,0.7550705005911367,0.18730705066048198,7
0.5,LODO,0.6613372668625929,0.12672733742980688,7
0.5,Internal Validation,0.7554881877451533,0.14793262390104006,7
0.5,Within Learning,0.7605883747188152,0.18384761189888618,7
0.55,LODO,0.6538680414529043,0.1303265356774337,7
0.55,Internal Validation,0.7502870157134386,0.15440921355797427,7
0.55,Within Learning,0.7641506030204307,0.18414426747600413,7
0.6,LODO,0.647818362318957,0.13374552888525146,7
0.6,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.6,Within Learning,0.764383191378019,0.18414073350935936,7
0.65,LODO,0.647818362318957,0.13374552888525146,7
0.65,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.65,Within Learning,0.764383191378019,0.18414073350935936,7
0.7,LODO,0.647818362318957,0.13374552888525146,7
0.7,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.7,Within Learning,0.764383191378019,0.18414073350935936,7
0.75,LODO,0.647818362318957,0.13374552888525146,7
0.75,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.75,Within Learning,0.764383191378019,0.18414073350935936,7
0.8,LODO,0.647818362318957,0.13374552888525146,7
0.8,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.8,Within Learning,0.764383191378019,0.18414073350935936,7
0.85,LODO,0.647818362318957,0.13374552888525146,7
0.85,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.85,Within Learning,0.764383191378019,0.18414073350935936,7
0.9,LODO,0.647818362318957,0.13374552888525146,7
0.9,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.9,Within Learning,0.764383191378019,0.18414073350935936,7
0.95,LODO,0.647818362318957,0.13374552888525146,7
0.95,Internal Validation,0.7541441923746841,0.15134612944679968,7
0.95,Within Learning,0.764383191378019,0.18414073350935936,7
