percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.6421972728689965,0.13285657211470583,7
0.05,Internal Validation,0.7331098968174482,0.13311325871903631,7
0.05,Within Learning,0.7502737103893422,0.19040390691399509,7
0.1,LODO,0.6280925730075484,0.12433926959968093,7
0.1,Internal Validation,0.7388115791523792,0.14709313206404376,7
0.1,Within Learning,0.750413947674119,0.19065127938019122,7
0.15,LODO,0.6245728458308185,0.1232199335770756,7
0.15,Internal Validation,0.734480519035139,0.14807571206289508,7
0.15,Within Learning,0.7479244987427998,0.18890946181008506,7
0.2,LODO,0.6357622580447457,0.1233664456325196,7
0.2,Internal Validation,0.7522594356371225,0.1463410869637911,7
0.2,Within Learning,0.760647216590423,0.18410117586564656,7
0.25,LODO,0.6364091964260105,0.12269154140938072,7
0.25,Internal Validation,0.7434807235196902,0.14974188360137533,7
0.25,Within Learning,0.7590655883682359,0.18132568307498792,7
0.3,LODO,0.6322053282994246,0.11681070543778024,7
0.3,Internal Validation,0.7485797364846987,0.15353959076994897,7
0.3,Within Learning,0.7547910006327204,0.18249131492765544,7
0.35,LODO,0.6346408733321813,0.12247213914553345,7
0.35,Internal Validation,0.7515293684574446,0.15090073090201014,7
0.35,Within Learning,0.7680611202281079,0.16952897039086284,7
0.4,LODO,0.6403964624902945,0.1178403248916639,7
0.4,Internal Validation,0.7526560463326631,0.15109602505649805,7
0.4,Within Learning,0.758624208705256,0.18565845884713938,7
0.45,LODO,0.6452835437658426,0.1256598533441727,7
0.45,Internal Validation,0.7573973959567203,0.14772614646710583,7
0.45,Within Learning,0.7634547507075767,0.16272223170850345,7
0.5,LODO,0.635743480963024,0.12272087175650509,7
0.5,Internal Validation,0.7567780824997195,0.14929618618792492,7
0.5,Within Learning,0.7626673569103836,0.18180418684703648,7
0.55,LODO,0.642051309778867,0.12345808325534073,7
0.55,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.55,Within Learning,0.7583775473262983,0.18677500873098996,7
0.6,LODO,0.642051309778867,0.12345808325534073,7
0.6,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.6,Within Learning,0.7583775473262983,0.18677500873098996,7
0.65,LODO,0.642051309778867,0.12345808325534073,7
0.65,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.65,Within Learning,0.7583775473262983,0.18677500873098996,7
0.7,LODO,0.642051309778867,0.12345808325534073,7
0.7,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.7,Within Learning,0.7583775473262983,0.18677500873098996,7
0.75,LODO,0.642051309778867,0.12345808325534073,7
0.75,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.75,Within Learning,0.7583775473262983,0.18677500873098996,7
0.8,LODO,0.642051309778867,0.12345808325534073,7
0.8,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.8,Within Learning,0.7583775473262983,0.18677500873098996,7
0.85,LODO,0.642051309778867,0.12345808325534073,7
0.85,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.85,Within Learning,0.7583775473262983,0.18677500873098996,7
0.9,LODO,0.642051309778867,0.12345808325534073,7
0.9,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.9,Within Learning,0.7583775473262983,0.18677500873098996,7
0.95,LODO,0.642051309778867,0.12345808325534073,7
0.95,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.95,Within Learning,0.7583775473262983,0.18677500873098996,7
