percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.7196629311055682,0.16694723140112747,4
0.05,Internal Validation,0.8280646131637968,0.16129400205299896,4
0.05,Within Learning,0.8558830323729705,0.15887301793579134,4
0.1,LODO,0.7473596269856476,0.14056180796381615,4
0.1,Internal Validation,0.8461668791556628,0.11904616321322323,4
0.1,Within Learning,0.8474886625815419,0.1633434175124068,4
0.15,LODO,0.7726759811526425,0.13071292766527515,4
0.15,Internal Validation,0.8709692761596817,0.09916101937126358,4
0.15,Within Learning,0.8522022417726752,0.17265638449771695,4
0.2,LODO,0.786977815733877,0.13114558703391796,4
0.2,Internal Validation,0.8822777127479631,0.08765079717472757,4
0.2,Within Learning,0.8882238504529527,0.1399089813720012,4
0.25,LODO,0.7885154914767583,0.13911661489407315,4
0.25,Internal Validation,0.8856055252244512,0.08147665920130549,4
0.25,Within Learning,0.8819387290556021,0.14800493309126897,4
0.3,LODO,0.7905693962454148,0.1392020027735607,4
0.3,Internal Validation,0.880476817022349,0.08793879224425533,4
0.3,Within Learning,0.8824089287905077,0.15896412270485324,4
0.35,LODO,0.7927015927714838,0.14084251208497778,4
0.35,Internal Validation,0.8838381123035136,0.07967533849640604,4
0.35,Within Learning,0.8827845593518967,0.14827888411958012,4
0.4,LODO,0.7916968070513783,0.1405699388782716,4
0.4,Internal Validation,0.8870923136533067,0.08305509188294165,4
0.4,Within Learning,0.877407497473287,0.15504315769969737,4
0.45,LODO,0.784630273745949,0.14099190618189605,4
0.45,Internal Validation,0.8822925280861971,0.08229665708035498,4
0.45,Within Learning,0.8824791758808787,0.15176178729098064,4
0.5,LODO,0.7930779419709255,0.13959174380959347,4
0.5,Internal Validation,0.8846243141494081,0.07957733252200488,4
0.5,Within Learning,0.8831880344457744,0.1468547550027841,4
0.55,LODO,0.7849974297662763,0.1370927397068176,4
0.55,Internal Validation,0.8880312029515979,0.07663498090535556,4
0.55,Within Learning,0.885617259417569,0.14371611629413736,4
0.6,LODO,0.7852682995495143,0.13973554247327727,4
0.6,Internal Validation,0.8821061670424342,0.0828295201690442,4
0.6,Within Learning,0.8848074504614752,0.14602562436734587,4
0.65,LODO,0.7952718770617864,0.13968276078998088,4
0.65,Internal Validation,0.8840920807499544,0.08046193654323053,4
0.65,Within Learning,0.8831309321053903,0.14847889159612224,4
0.7,LODO,0.7850959188490007,0.14225155396871006,4
0.7,Internal Validation,0.8871891381660715,0.07996697137295104,4
0.7,Within Learning,0.8810184762777642,0.1493137327702689,4
0.75,LODO,0.7856843389312829,0.14084351221716376,4
0.75,Internal Validation,0.8851061515217264,0.08137931367326169,4
0.75,Within Learning,0.8810184762777642,0.1493137327702689,4
0.8,LODO,0.783935247732214,0.14187062798897743,4
0.8,Internal Validation,0.8871051892360827,0.08242668616007491,4
0.8,Within Learning,0.8792007936164282,0.15179988910403652,4
0.85,LODO,0.78428896212272,0.14033628781086646,4
0.85,Internal Validation,0.8882057061164501,0.07831564351036066,4
0.85,Within Learning,0.8816603739397857,0.1469601030249746,4
0.9,LODO,0.78428896212272,0.14033628781086646,4
0.9,Internal Validation,0.8882057061164501,0.07831564351036066,4
0.9,Within Learning,0.8816603739397857,0.1469601030249746,4
0.95,LODO,0.78428896212272,0.14033628781086646,4
0.95,Internal Validation,0.8882057061164501,0.07831564351036066,4
0.95,Within Learning,0.8816603739397857,0.1469601030249746,4
