percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.6927858718895998,0.15965840266090028,4
0.05,Internal Validation,0.7981813362383,0.19034469257516987,4
0.05,Within Learning,0.8266265840569246,0.16762112509746477,4
0.1,LODO,0.7423061622793691,0.14654736715754818,4
0.1,Internal Validation,0.8420924530471798,0.13480261532025822,4
0.1,Within Learning,0.837662500897795,0.16903050315249848,4
0.15,LODO,0.7517304548332243,0.1334758448858449,4
0.15,Internal Validation,0.8552247977477575,0.11294886785685918,4
0.15,Within Learning,0.839999697584837,0.16701675589456175,4
0.2,LODO,0.7519477699878291,0.13967105461697518,4
0.2,Internal Validation,0.8619568605065505,0.10586842091745507,4
0.2,Within Learning,0.8514962133383186,0.15047931426845718,4
0.25,LODO,0.774526432585148,0.1386107793160035,4
0.25,Internal Validation,0.8788224401761008,0.08619093505745061,4
0.25,Within Learning,0.8692584161624408,0.16315629915535843,4
0.3,LODO,0.7801982530364987,0.13752037474619733,4
0.3,Internal Validation,0.8709541896008507,0.08524173422340377,4
0.3,Within Learning,0.8686044605549249,0.14809119437207635,4
0.35,LODO,0.7809876702493828,0.1448918452121123,4
0.35,Internal Validation,0.8737121249604657,0.09022929424368438,4
0.35,Within Learning,0.8688463282503531,0.14740047920562763,4
0.4,LODO,0.7704122392436149,0.1410154569475806,4
0.4,Internal Validation,0.8702572914636147,0.08832795600839347,4
0.4,Within Learning,0.8676121264356559,0.15118715801952032,4
0.45,LODO,0.7769203660993195,0.14004749314146045,4
0.45,Internal Validation,0.8680544229072926,0.08676491525864742,4
0.45,Within Learning,0.8694978525086884,0.14646606114393304,4
0.5,LODO,0.7741786555848059,0.14546514974204028,4
0.5,Internal Validation,0.8729200580491967,0.08710313641961887,4
0.5,Within Learning,0.8634546739809897,0.14697853793639898,4
0.55,LODO,0.7709823393583339,0.1424438707421124,4
0.55,Internal Validation,0.8747050398791141,0.08327882292489797,4
0.55,Within Learning,0.859651498312489,0.15312876485476026,4
0.6,LODO,0.7825193625439326,0.14525764739906105,4
0.6,Internal Validation,0.8746524056214036,0.08538787912087675,4
0.6,Within Learning,0.865744051270367,0.14953988634623566,4
0.65,LODO,0.7780442292025929,0.14614110880440506,4
0.65,Internal Validation,0.876359039124649,0.08466848861542123,4
0.65,Within Learning,0.8683708362500933,0.14896870878415716,4
0.7,LODO,0.7778868519488201,0.14196474966023753,4
0.7,Internal Validation,0.8756798284014837,0.08349137397618973,4
0.7,Within Learning,0.8656805311991072,0.15284048393073837,4
0.75,LODO,0.7814955355745937,0.1438562056885201,4
0.75,Internal Validation,0.8734838499158012,0.08438539713375359,4
0.75,Within Learning,0.8732276710217887,0.14332743528014427,4
0.8,LODO,0.7766058715456192,0.14364217088275205,4
0.8,Internal Validation,0.8749943055758735,0.08882492192115127,4
0.8,Within Learning,0.874268413045503,0.14152987006821452,4
0.85,LODO,0.7770348811794093,0.14420429377032767,4
0.85,Internal Validation,0.8754119002041891,0.08411666358055203,4
0.85,Within Learning,0.8713710180428446,0.14296274176085033,4
0.9,LODO,0.7770348811794093,0.14420429377032767,4
0.9,Internal Validation,0.8754119002041891,0.08411666358055203,4
0.9,Within Learning,0.8713710180428446,0.14296274176085033,4
0.95,LODO,0.7770348811794093,0.14420429377032767,4
0.95,Internal Validation,0.8754119002041891,0.08411666358055203,4
0.95,Within Learning,0.8713710180428446,0.14296274176085033,4
