percentile,n_kept,n_total,pct_kept
0.05,142,2887,4.918600623484586
0.1,283,2887,9.802563214409421
0.15,424,2887,14.686525805334258
0.2,565,2887,19.570488396259094
0.25,706,2887,24.45445098718393
0.3,847,2887,29.338413578108764
0.35,989,2887,34.25701420159335
0.4,1130,2887,39.14097679251819
0.45,1863,2887,64.53065465881538
0.5,1863,2887,64.53065465881538
0.55,1863,2887,64.53065465881538
0.6,1863,2887,64.53065465881538
0.65,1863,2887,64.53065465881538
0.7,2439,2887,84.48216141323172
0.75,2439,2887,84.48216141323172
0.8,2439,2887,84.48216141323172
0.85,2439,2887,84.48216141323172
0.9,2728,2887,94.49255282299966
0.95,2728,2887,94.49255282299966
