percentile,n_kept,n_total,pct_kept
0.05,281,5694,4.935019318580962
0.1,561,5694,9.852476290832454
0.15,842,5694,14.787495609413417
0.2,1123,5694,19.72251492799438
0.25,1403,5694,24.63997190024587
0.3,1683,5694,29.557428872497365
0.35,1964,5694,34.49244819107833
0.4,2244,5694,39.40990516332982
0.45,2525,5694,44.34492448191078
0.5,2805,5694,49.26238145416227
0.55,3086,5694,54.19740077274324
0.6,3366,5694,59.11485774499473
0.65,3646,5694,64.03231471724622
0.7,3933,5694,69.072708113804
0.75,4221,5694,74.13066385669126
0.8,4488,5694,78.81981032665963
0.85,4904,5694,86.125746399719
0.9,5610,5694,98.52476290832455
0.95,5610,5694,98.52476290832455
