percentile,n_kept,n_total,pct_kept
0.05,236,4782,4.93517356754496
0.1,471,4782,9.84943538268507
0.15,706,4782,14.763697197825177
0.2,942,4782,19.69887076537014
0.25,1177,4782,24.613132580510246
0.3,1413,4782,29.548306148055207
0.35,1648,4782,34.46256796319532
0.4,1883,4782,39.37682977833543
0.45,2119,4782,44.312003345880385
0.5,2354,4782,49.22626516102049
0.55,2589,4782,54.1405269761606
0.6,2825,4782,59.075700543705565
0.65,3059,4782,63.96905060644082
0.7,3302,4782,69.05060644081973
0.75,3532,4782,73.86030949393559
0.8,3765,4782,78.732747804266
0.85,4095,4782,85.63362609786701
0.9,4707,4782,98.43161856963613
0.95,4707,4782,98.43161856963613
