percentile,protocol,mean_auc,std_auc,n_phenotypes
0.1,LODO,0.7473596269856476,0.14056180796381612,4
0.1,Internal Validation,0.8461668791556628,0.11904616321322323,4
0.1,Within Learning,0.8474886625815419,0.16334341751240677,4
0.2,LODO,0.7869778157338769,0.13114558703391796,4
0.2,Internal Validation,0.8822777127479631,0.08765079717472755,4
0.2,Within Learning,0.8882238504529527,0.1399089813720012,4
0.3,LODO,0.7905693962454147,0.1392020027735607,4
0.3,Internal Validation,0.8804768170223491,0.08793879224425534,4
0.3,Within Learning,0.8824089287905078,0.15896412270485324,4
0.4,LODO,0.7916968070513783,0.14056993887827163,4
0.4,Internal Validation,0.8870923136533065,0.08305509188294165,4
0.4,Within Learning,0.877407497473287,0.15504315769969737,4
0.5,LODO,0.7930779419709255,0.13959174380959347,4
0.5,Internal Validation,0.8846243141494082,0.07957733252200488,4
0.5,Within Learning,0.8831880344457744,0.1468547550027841,4
0.6,LODO,0.7852682995495143,0.13973554247327727,4
0.6,Internal Validation,0.8821061670424342,0.08282952016904419,4
0.6,Within Learning,0.8848074504614752,0.1460256243673459,4
0.7,LODO,0.7850959188490007,0.14225155396871006,4
0.7,Internal Validation,0.8871891381660715,0.07996697137295104,4
0.7,Within Learning,0.8810184762777642,0.1493137327702689,4
0.8,LODO,0.7839352477322141,0.1418706279889774,4
0.8,Internal Validation,0.8871051892360826,0.08242668616007492,4
0.8,Within Learning,0.8792007936164283,0.15179988910403652,4
0.9,LODO,0.78428896212272,0.14033628781086646,4
0.9,Internal Validation,0.8882057061164499,0.07831564351036066,4
0.9,Within Learning,0.8816603739397858,0.1469601030249746,4
