percentile,protocol,mean_auc,std_auc,n_phenotypes
0.1,LODO,0.6269462563969127,0.13163289596264421,7
0.1,Internal Validation,0.7392940193387009,0.14820669278863924,7
0.1,Within Learning,0.753530151242748,0.18848982879268872,7
0.2,LODO,0.6363613442170212,0.12629650114179924,7
0.2,Internal Validation,0.7575763323227691,0.15414764831396305,7
0.2,Within Learning,0.7595006364171435,0.18216240417314664,7
0.3,LODO,0.6418726994225924,0.12609148436814838,7
0.3,Internal Validation,0.7570769707112518,0.14724943426340198,7
0.3,Within Learning,0.7661059174449432,0.18145448907534228,7
0.4,LODO,0.6544129024934062,0.11891707603111837,7
0.4,Internal Validation,0.7596773405471609,0.1499300111089943,7
0.4,Within Learning,0.7640225867676717,0.18578436311185523,7
0.5,LODO,0.6566048282557435,0.12164821355554752,7
0.5,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.5,Within Learning,0.7640225867676717,0.18578436311185523,7
0.6,LODO,0.6566048282557435,0.12164821355554752,7
0.6,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.6,Within Learning,0.7640225867676717,0.18578436311185523,7
0.7,LODO,0.6566048282557435,0.12164821355554752,7
0.7,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.7,Within Learning,0.7640225867676717,0.18578436311185523,7
0.8,LODO,0.6566048282557435,0.12164821355554752,7
0.8,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.8,Within Learning,0.7640225867676717,0.18578436311185523,7
0.9,LODO,0.6566048282557435,0.12164821355554752,7
0.9,Internal Validation,0.7612114087863737,0.14847876717644354,7
0.9,Within Learning,0.7640225867676717,0.18578436311185523,7
