percentile,protocol,mean_auc,std_auc,n_phenotypes
0.1,LODO,0.6280925730075484,0.12433926959968093,7
0.1,Internal Validation,0.7388115791523792,0.14709313206404376,7
0.1,Within Learning,0.7504139476741188,0.19065127938019125,7
0.2,LODO,0.6357622580447458,0.12336644563251961,7
0.2,Internal Validation,0.7522594356371223,0.1463410869637911,7
0.2,Within Learning,0.7606472165904232,0.1841011758656466,7
0.3,LODO,0.6322053282994247,0.11681070543778024,7
0.3,Internal Validation,0.7485797364846988,0.15353959076994897,7
0.3,Within Learning,0.7547910006327203,0.18249131492765544,7
0.4,LODO,0.6403964624902945,0.11784032489166389,7
0.4,Internal Validation,0.7526560463326631,0.15109602505649805,7
0.4,Within Learning,0.7586242087052562,0.18565845884713938,7
0.5,LODO,0.635743480963024,0.12272087175650509,7
0.5,Internal Validation,0.7567780824997195,0.14929618618792492,7
0.5,Within Learning,0.7626673569103837,0.18180418684703648,7
0.6,LODO,0.6420513097788672,0.12345808325534072,7
0.6,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.6,Within Learning,0.7583775473262985,0.18677500873098996,7
0.7,LODO,0.6420513097788672,0.12345808325534072,7
0.7,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.7,Within Learning,0.7583775473262985,0.18677500873098996,7
0.8,LODO,0.6420513097788672,0.12345808325534072,7
0.8,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.8,Within Learning,0.7583775473262985,0.18677500873098996,7
0.9,LODO,0.6420513097788672,0.12345808325534072,7
0.9,Internal Validation,0.7505916643977987,0.1529262286746034,7
0.9,Within Learning,0.7583775473262985,0.18677500873098996,7
