percentile,protocol,mean_auc,std_auc,n_phenotypes
0.1,LODO,0.7473596269856475,0.14056180796381615,4
0.1,Internal Validation,0.8461668791556628,0.11904616321322323,4
0.1,Within Learning,0.8474886625815419,0.16334341751240677,4
0.2,LODO,0.786977815733877,0.13114558703391796,4
0.2,Internal Validation,0.8822777127479632,0.08765079717472757,4
0.2,Within Learning,0.8882238504529526,0.13990898137200122,4
0.3,LODO,0.7905693962454147,0.13920200277356068,4
0.3,Internal Validation,0.880476817022349,0.08793879224425534,4
0.3,Within Learning,0.8824089287905078,0.15896412270485322,4
0.4,LODO,0.7916968070513782,0.14056993887827163,4
0.4,Internal Validation,0.8870923136533065,0.08305509188294165,4
0.4,Within Learning,0.8774074974732868,0.15504315769969737,4
0.5,LODO,0.7930779419709254,0.13959174380959347,4
0.5,Internal Validation,0.8846243141494083,0.07957733252200488,4
0.5,Within Learning,0.8831880344457743,0.1468547550027841,4
0.6,LODO,0.7852682995495143,0.13973554247327727,4
0.6,Internal Validation,0.8821061670424343,0.08282952016904419,4
0.6,Within Learning,0.8848074504614752,0.1460256243673459,4
0.7,LODO,0.7850959188490008,0.14225155396871006,4
0.7,Internal Validation,0.8871891381660715,0.07996697137295104,4
0.7,Within Learning,0.8810184762777641,0.14931373277026894,4
0.8,LODO,0.7839352477322141,0.1418706279889774,4
0.8,Internal Validation,0.8871051892360825,0.08242668616007492,4
0.8,Within Learning,0.8792007936164282,0.15179988910403652,4
0.9,LODO,0.78428896212272,0.14033628781086646,4
0.9,Internal Validation,0.88820570611645,0.07831564351036066,4
0.9,Within Learning,0.8816603739397857,0.1469601030249746,4
