percentile,protocol,mean_auc,std_auc,n_phenotypes
0.1,LODO,0.7444008055073439,0.15185516372275631,4
0.1,Internal Validation,0.846144264974994,0.13147319508508,4
0.1,Within Learning,0.8315427613608728,0.17368449592304958,4
0.2,LODO,0.7948811933515031,0.13642379289312698,4
0.2,Internal Validation,0.8788430554969943,0.0848527006878583,4
0.2,Within Learning,0.8730589091850701,0.15181050235098048,4
0.3,LODO,0.7888537789661059,0.1357769173279475,4
0.3,Internal Validation,0.8842525441893725,0.08373305068788418,4
0.3,Within Learning,0.8765149338678749,0.1430126736277993,4
0.4,LODO,0.7836776406484093,0.14139504566280134,4
0.4,Internal Validation,0.8827762400854317,0.0853688478539749,4
0.4,Within Learning,0.8714946538669449,0.1577944392187994,4
0.5,LODO,0.7812863975675147,0.1372187532137043,4
0.5,Internal Validation,0.8792870967863902,0.08506372942286942,4
0.5,Within Learning,0.8750642267089636,0.15521584563591043,4
0.6,LODO,0.7817125894759592,0.133041172569726,4
0.6,Internal Validation,0.8856119764169876,0.08320209974626465,4
0.6,Within Learning,0.8791353512328745,0.1448054090966336,4
0.7,LODO,0.7862599863695395,0.13518635653383765,4
0.7,Internal Validation,0.8801768388688429,0.0827545780436789,4
0.7,Within Learning,0.8711125024786016,0.15126313439116984,4
0.8,LODO,0.7918147352295183,0.134333771587901,4
0.8,Internal Validation,0.8842836861388587,0.08031176951465864,4
0.8,Within Learning,0.8755609350230094,0.14891230866055633,4
0.9,LODO,0.7855386926071594,0.13545717308228064,4
0.9,Internal Validation,0.884933975475427,0.08351676404058234,4
0.9,Within Learning,0.8745027826490674,0.15373500390262623,4
